origin=(-39, -20) width=534 height=446 cell=.125 cyan=connected orange=disconnected
RIVER APPROACH localX=12 requested=(5.10, 0.09, -18.13) connected=(1.31, 0.09, -13.31) distance=6,130782
RIVER APPROACH localX=19 requested=(14.93, 0.09, -16.31) connected=(6.56, 0.09, -7.81) distance=11,92001
COLLIDER Campfire/fonar (2) bounds=Center: (2.55, 1.90, -0.16), Extents: (0.99, 1.88, 0.97) enabled=True
COLLIDER Campfire/wooden+bench+3d+model bounds=Center: (1.51, 0.28, -1.46), Extents: (0.72, 0.28, 0.80) enabled=True
COLLIDER Campfire/wooden+bench+3d+model (1) bounds=Center: (1.43, 0.28, 0.84), Extents: (0.69, 0.28, 0.82) enabled=True
COLLIDER Campfire/mossy+stone+blocks+3d+model (1) bounds=Center: (0.29, 0.13, 3.93), Extents: (0.24, 0.16, 0.30) enabled=True
COLLIDER Campfire/mossy+stone+blocks+3d+model (2) bounds=Center: (3.74, 0.27, -8.46), Extents: (0.61, 0.34, 0.40) enabled=True
COLLIDER Campfire/stone+fire+pit+3d+model bounds=Center: (-0.23, 0.31, -0.46), Extents: (0.99, 0.31, 0.98) enabled=True
COLLIDER Campfire/wooden+crate+3d+model (3) bounds=Center: (0.30, 0.33, 2.79), Extents: (0.53, 0.31, 0.53) enabled=True
COLLIDER Tent - Player/fonar bounds=Center: (-0.41, 1.90, 8.84), Extents: (0.81, 1.88, 0.78) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model bounds=Center: (-10.00, 0.36, 11.18), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (1) bounds=Center: (-9.38, 0.36, 10.42), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (2) bounds=Center: (-10.20, 0.43, 9.67), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (3) bounds=Center: (-10.29, 0.36, 9.10), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (4) bounds=Center: (-10.13, 0.36, 8.40), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (5) bounds=Center: (-8.72, 0.36, 10.83), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (6) bounds=Center: (-8.34, 0.36, 11.58), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (11) bounds=Center: (-8.42, 0.36, 12.22), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (7) bounds=Center: (-7.87, 0.36, 11.14), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (8) bounds=Center: (-9.60, 0.36, 7.71), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (9) bounds=Center: (-10.30, 0.36, 7.21), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (17) bounds=Center: (-10.60, 0.36, 5.55), Extents: (0.89, 0.36, 0.72) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (12) bounds=Center: (-11.05, 0.36, 7.84), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (10) bounds=Center: (-9.42, 0.36, 6.78), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/medieval+banner+3d+model bounds=Center: (-2.73, 1.44, 7.96), Extents: (0.80, 1.44, 0.16) enabled=True
COLLIDER Tent - Player/medieval+banner+3d+model (1) bounds=Center: (-10.27, 1.80, 7.18), Extents: (1.01, 1.80, 0.24) enabled=True
COLLIDER Tent - Player/camping+tent+3d+model bounds=Center: (-7.11, 1.82, 8.05), Extents: (3.38, 1.82, 3.16) enabled=True
COLLIDER Tent - Player/decorative+rug+3d+model bounds=Center: (-5.92, 0.12, 6.81), Extents: (1.27, 0.08, 1.80) enabled=True
COLLIDER Tent - Player/wooden+bucket+3d+model bounds=Center: (-4.55, 0.17, 6.31), Extents: (0.21, 0.17, 0.21) enabled=True
COLLIDER Tent - Player/wooden+bucket+3d+model (2) bounds=Center: (-8.05, 0.79, 5.03), Extents: (0.21, 0.17, 0.21) enabled=True
COLLIDER Tent - Player/stylized+tree+3d+model bounds=Center: (-11.39, 6.56, 13.23), Extents: (6.99, 6.56, 6.68) enabled=True
COLLIDER Tent - Player/stylized+tree+3d+model (1) bounds=Center: (-4.22, 4.82, 15.49), Extents: (5.35, 4.82, 5.54) enabled=True
COLLIDER Tent - Player/hanging+lantern+3d+model bounds=Center: (-8.22, 2.47, 7.19), Extents: (1.14, 0.80, 0.42) enabled=True
COLLIDER Tent - Player/wooden+fence+3d+model bounds=Center: (-9.90, 0.53, 3.75), Extents: (1.12, 0.53, 1.12) enabled=True
COLLIDER Tent - Player/wooden+fence+3d+model (1) bounds=Center: (-11.42, 0.53, 5.32), Extents: (1.12, 0.53, 1.12) enabled=True
COLLIDER Tent - Player/wooden+fence+3d+model (2) bounds=Center: (-11.99, 0.53, 7.15), Extents: (0.48, 0.53, 1.40) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model bounds=Center: (-3.27, 0.36, 7.38), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (1) bounds=Center: (-3.93, 0.36, 7.19), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (18) bounds=Center: (-6.07, 0.65, 12.13), Extents: (1.44, 0.65, 1.04) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (19) bounds=Center: (-3.66, 0.65, 13.18), Extents: (1.44, 0.65, 1.04) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (2) bounds=Center: (-4.28, 0.55, 7.90), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (4) bounds=Center: (-4.74, 0.36, 8.98), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (5) bounds=Center: (-3.41, 0.36, 6.32), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/bush+with+flowers+3d+model (3) bounds=Center: (-4.98, 0.36, 10.15), Extents: (0.88, 0.36, 0.95) enabled=True
COLLIDER Tent - Player/wooden+crate+3d+model bounds=Center: (-8.03, 0.35, 5.12), Extents: (0.43, 0.28, 0.43) enabled=True
COLLIDER Tent - Player/wooden+crate+3d+model (3) bounds=Center: (-3.68, 0.28, 10.83), Extents: (0.38, 0.28, 0.39) enabled=True
COLLIDER Tent - Player/wooden+crate+3d+model (5) bounds=Center: (-2.06, 1.05, 10.94), Extents: (0.38, 0.28, 0.39) enabled=True
COLLIDER Tent - Player/wooden+crate+3d+model (1) bounds=Center: (-8.24, 0.47, 5.90), Extents: (0.62, 0.40, 0.62) enabled=True
