time,tick,entity,kind,alive,state,phase,transition,x,y,z,minY,height,clipSeconds
0.0167,0,1,ForestGuardian,True,-2089788878,0.3625,False,6.5500,0.0000,5.0000,-0.1636,2.4698,5.3333
0.0167,0,2,ForestGuardian,True,-2089788878,0.8503,False,7.4000,0.0000,6.3000,-0.1694,2.4953,5.3333
0.0167,0,3,ForestGuardian,True,-2089788878,0.7765,False,7.4000,0.0000,3.7000,-0.1664,2.4835,5.3333
0.0250,0,1,ForestGuardian,True,-2089788878,0.3641,False,6.5500,0.0000,5.0000,-0.1635,2.4699,5.3333
0.0250,0,2,ForestGuardian,True,-2089788878,0.8518,False,7.4000,0.0000,6.3000,-0.1695,2.4953,5.3333
0.0250,0,3,ForestGuardian,True,-2089788878,0.7781,False,7.4000,0.0000,3.7000,-0.1664,2.4839,5.3333
0.0333,0,1,ForestGuardian,True,-2089788878,0.3656,False,6.5500,0.0000,5.0000,-0.1635,2.4701,5.3333
0.0333,0,2,ForestGuardian,True,-2089788878,0.8534,False,7.4000,0.0000,6.3000,-0.1696,2.4953,5.3333
0.0333,0,3,ForestGuardian,True,-2089788878,0.7797,False,7.4000,0.0000,3.7000,-0.1665,2.4843,5.3333
0.0417,0,1,ForestGuardian,True,-2089788878,0.3672,False,6.5500,0.0000,5.0000,-0.1635,2.4703,5.3333
0.0417,0,2,ForestGuardian,True,-2089788878,0.8550,False,7.4000,0.0000,6.3000,-0.1697,2.4954,5.3333
0.0417,0,3,ForestGuardian,True,-2089788878,0.7812,False,7.4000,0.0000,3.7000,-0.1666,2.4846,5.3333
0.0500,1,1,ForestGuardian,True,-2089788878,0.3688,False,6.5500,0.0000,5.0000,-0.1634,2.4706,5.3333
0.0500,1,2,ForestGuardian,True,-2089788878,0.8565,False,7.4000,0.0000,6.3000,-0.1698,2.4954,5.3333
0.0500,1,3,ForestGuardian,True,-2089788878,0.7828,False,7.4000,0.0000,3.7000,-0.1667,2.4850,5.3333
0.0583,1,1,ForestGuardian,True,-2089788878,0.3703,False,6.5375,0.0000,5.0000,-0.1634,2.4708,5.3333
0.0583,1,2,ForestGuardian,True,-2089788878,0.8581,False,7.4068,0.0000,6.3105,-0.1699,2.4954,5.3333
0.0583,1,3,ForestGuardian,True,-2089788878,0.7844,False,7.4068,0.0000,3.6895,-0.1667,2.4853,5.3333
0.0667,1,1,ForestGuardian,True,-2089788878,0.3719,False,6.5250,0.0000,5.0000,-0.1634,2.4711,5.3333
0.0667,1,2,ForestGuardian,True,-2089788878,0.8597,False,7.4137,0.0000,6.3209,-0.1700,2.4954,5.3333
0.0667,1,3,ForestGuardian,True,-2089788878,0.7859,False,7.4137,0.0000,3.6791,-0.1668,2.4857,5.3333
0.0750,1,1,ForestGuardian,True,-2089788878,0.3735,False,6.5125,0.0000,5.0000,-0.1633,2.4713,5.3333
0.0750,1,2,ForestGuardian,True,-2089788878,0.8612,False,7.4205,0.0000,6.3314,-0.1701,2.4953,5.3333
0.0750,1,3,ForestGuardian,True,-2089788878,0.7875,False,7.4205,0.0000,3.6686,-0.1669,2.4860,5.3333
0.0833,2,1,ForestGuardian,True,-2089788878,0.3750,False,6.5000,0.0000,5.0000,-0.1633,2.4716,5.3333
0.0833,2,2,ForestGuardian,True,-2089788878,0.8628,False,7.4274,0.0000,6.3418,-0.1702,2.4953,5.3333
0.0833,2,3,ForestGuardian,True,-2089788878,0.7890,False,7.4274,0.0000,3.6582,-0.1670,2.4863,5.3333
0.0917,2,1,ForestGuardian,True,-2089788878,0.3766,False,6.4902,0.0000,5.0000,-0.1633,2.4720,5.3333
0.0917,2,2,ForestGuardian,True,-2089788878,0.8643,False,7.4323,0.0000,6.3489,-0.1703,2.4952,5.3333
0.0917,2,3,ForestGuardian,True,-2089788878,0.7906,False,7.4323,0.0000,3.6511,-0.1670,2.4867,5.3333
0.1000,2,1,ForestGuardian,True,-2089788878,0.3781,False,6.4804,0.0000,5.0000,-0.1633,2.4723,5.3333
0.1000,2,2,ForestGuardian,True,-2089788878,0.8660,False,7.4372,0.0000,6.3560,-0.1787,2.4941,5.1536
0.1000,2,3,ForestGuardian,True,-2089788878,0.7922,False,7.4372,0.0000,3.6440,-0.1741,2.4891,5.1536
0.1083,2,1,ForestGuardian,True,-2089788878,0.3797,False,6.4706,0.0000,5.0000,-0.1633,2.4727,5.3333
0.1083,2,2,ForestGuardian,True,-2089788878,0.8676,False,7.4420,0.0000,6.3631,-0.1842,2.4906,4.9957
0.1083,2,3,ForestGuardian,True,-2089788878,0.7939,False,7.4420,0.0000,3.6369,-0.1788,2.4892,4.9957
0.1167,3,1,ForestGuardian,True,-2089788878,0.3813,False,6.4608,0.0000,5.0000,-0.1633,2.4731,5.3333
0.1167,3,2,ForestGuardian,True,-2089788878,0.8693,False,7.4469,0.0000,6.3702,-0.1876,2.4856,4.8572
0.1167,3,3,ForestGuardian,True,-2089788878,0.7956,False,7.4469,0.0000,3.6298,-0.1816,2.4875,4.8572
0.1250,3,1,ForestGuardian,True,-2089788878,0.3828,False,6.4591,0.0000,5.0000,-0.1634,2.4735,5.3333
0.1250,3,2,ForestGuardian,True,-2089788878,0.8711,False,7.4478,0.0000,6.3714,-0.1894,2.4797,4.7355
0.1250,3,3,ForestGuardian,True,-2089788878,0.7974,False,7.4478,0.0000,3.6286,-0.1832,2.4848,4.7355
0.1333,3,1,ForestGuardian,True,-2089788878,0.3844,False,6.4574,0.0000,5.0000,-0.1634,2.4739,5.3333
0.1333,3,2,ForestGuardian,True,-2089788878,0.8729,False,7.4487,0.0000,6.3726,-0.1903,2.4732,4.6286
0.1333,3,3,ForestGuardian,True,-2089788878,0.7992,False,7.4487,0.0000,3.6274,-0.1839,2.4813,4.6286
0.1417,3,1,ForestGuardian,True,-2089788878,0.3860,False,6.4556,0.0000,5.0000,-0.1634,2.4743,5.3333
0.1417,3,2,ForestGuardian,True,-2089788878,0.8747,False,7.4495,0.0000,6.3738,-0.1903,2.4666,4.5348
