time,tick,state,phase,transition,playback,moveX,moveY,rootX,rootY,rootZ,yaw,leftX,leftY,leftZ,rightX,rightY,rightZ,hipsYaw,turnPhase,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ
0.008333,0,RelaxedIdle_v5,0.000920,0,0.000000,0.000000,1.000000,0.000000,0.097333,-2.880000,90.000000,0.148592,0.107297,-2.599939,0.092577,0.103772,-2.927595,88.455290,0.000000,0.092228,0.517937,-2.696225,0.015441,0.498826,-2.958569
0.016667,0,RelaxedIdle_v5,0.000000,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148540,0.009978,5.280059,5.092548,0.006439,4.952383,88.455290,0.000000,5.092176,0.420601,5.183753,5.015428,0.401490,4.921414
0.025000,0,RelaxedIdle_v5,0.000920,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148592,0.009964,5.280061,5.092577,0.006440,4.952404,88.455290,0.000000,5.092228,0.420605,5.183775,5.015441,0.401494,4.921432
0.033333,0,RelaxedIdle_v5,0.001840,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148643,0.009952,5.280063,5.092606,0.006441,4.952425,88.455290,0.000000,5.092280,0.420608,5.183796,5.015456,0.401498,4.921448
0.041667,0,RelaxedIdle_v5,0.002760,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148693,0.009942,5.280066,5.092637,0.006444,4.952446,88.455290,0.000000,5.092333,0.420613,5.183818,5.015471,0.401503,4.921465
0.050000,1,RelaxedIdle_v5,0.003680,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148742,0.009932,5.280069,5.092668,0.006447,4.952467,88.455290,0.000000,5.092385,0.420618,5.183839,5.015487,0.401509,4.921483
0.058333,1,RelaxedIdle_v5,0.004600,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148789,0.009924,5.280073,5.092700,0.006450,4.952488,88.455290,0.000000,5.092438,0.420623,5.183860,5.015503,0.401514,4.921501
0.066667,1,RelaxedIdle_v5,0.005520,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148837,0.009917,5.280077,5.092734,0.006454,4.952509,88.455290,0.000000,5.092490,0.420629,5.183881,5.015521,0.401521,4.921518
0.075000,1,RelaxedIdle_v5,0.006440,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148882,0.009910,5.280082,5.092768,0.006459,4.952530,88.455290,0.000000,5.092543,0.420635,5.183902,5.015538,0.401527,4.921536
0.083333,2,RelaxedIdle_v5,0.007360,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148927,0.009905,5.280087,5.092803,0.006464,4.952550,88.455290,0.000000,5.092595,0.420641,5.183923,5.015557,0.401534,4.921555
0.091667,2,RelaxedIdle_v5,0.008280,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148971,0.009901,5.280094,5.092839,0.006468,4.952571,88.455290,0.000000,5.092647,0.420647,5.183943,5.015575,0.401541,4.921573
0.100000,2,RelaxedIdle_v5,0.009200,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149014,0.009897,5.280101,5.092875,0.006474,4.952592,88.455290,0.000000,5.092699,0.420654,5.183964,5.015595,0.401548,4.921592
0.108333,2,RelaxedIdle_v5,0.010120,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149055,0.009894,5.280108,5.092913,0.006479,4.952613,88.455290,0.000000,5.092751,0.420661,5.183985,5.015615,0.401555,4.921611
0.116667,3,RelaxedIdle_v5,0.011040,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149096,0.009892,5.280117,5.092951,0.006485,4.952634,88.455290,0.000000,5.092803,0.420667,5.184005,5.015635,0.401563,4.921630
0.125000,3,RelaxedIdle_v5,0.011960,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149136,0.009890,5.280126,5.092989,0.006490,4.952655,88.455290,0.000000,5.092854,0.420674,5.184026,5.015655,0.401570,4.921650
0.133333,3,RelaxedIdle_v5,0.012880,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149174,0.009888,5.280136,5.093029,0.006496,4.952676,88.455290,0.000000,5.092905,0.420680,5.184047,5.015675,0.401577,4.921670
0.141667,3,RelaxedIdle_v5,0.013800,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149212,0.009888,5.280146,5.093068,0.006501,4.952697,88.455290,0.000000,5.092956,0.420687,5.184068,5.015696,0.401584,4.921691
0.150000,4,RelaxedIdle_v5,0.014720,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149248,0.009887,5.280158,5.093108,0.006506,4.952719,88.455290,0.000000,5.093006,0.420693,5.184089,5.015717,0.401590,4.921712
