time,tick,entity,kind,alive,state,phase,transition,x,y,z,minY,height,clipSeconds
0.0333,0,1,ForestGuardian,True,-2089788878,0.9914,False,6.5500,0.0000,5.0000,-0.1679,2.4737,5.3333
0.0667,1,1,ForestGuardian,True,-2089788878,0.9977,False,6.5500,0.0000,5.0000,-0.1679,2.4732,5.3333
0.1000,2,1,ForestGuardian,True,-2089788878,1.0039,False,6.5500,0.0000,5.0000,-0.1679,2.4730,5.3333
0.1333,3,1,ForestGuardian,True,-2089788878,1.0102,False,6.5500,0.0000,5.0000,-0.1679,2.4733,5.3333
0.1667,4,1,ForestGuardian,True,-2089788878,1.0164,False,6.5500,0.0000,5.0000,-0.1678,2.4736,5.3333
0.2000,5,1,ForestGuardian,True,-2089788878,1.0227,False,6.5500,0.0000,5.0000,-0.1677,2.4740,5.3333
0.2333,6,1,ForestGuardian,True,-2089788878,1.0289,False,6.5500,0.0000,5.0000,-0.1677,2.4744,5.3333
0.2667,7,1,ForestGuardian,True,-2089788878,1.0352,False,6.5500,0.0000,5.0000,-0.1678,2.4748,5.3333
0.3000,8,1,ForestGuardian,True,-2089788878,1.0414,False,6.5500,0.0000,5.0000,-0.1679,2.4752,5.3333
0.3333,9,1,ForestGuardian,True,-2089788878,1.0477,False,6.5500,0.0000,5.0000,-0.1680,2.4756,5.3333
0.3667,10,1,ForestGuardian,True,-2089788878,1.0539,False,6.5500,0.0000,5.0000,-0.1682,2.4758,5.3333
0.4000,11,1,ForestGuardian,True,-2089788878,1.0602,False,6.5500,0.0000,5.0000,-0.1684,2.4761,5.3333
0.4333,12,1,ForestGuardian,True,-2089788878,1.0664,False,6.5500,0.0000,5.0000,-0.1686,2.4767,5.3333
0.4667,13,1,ForestGuardian,True,-2089788878,1.0727,False,6.5500,0.0000,5.0000,-0.1689,2.4777,5.3333
0.5000,14,1,ForestGuardian,True,-2089788878,1.0789,False,6.5500,0.0000,5.0000,-0.1692,2.4789,5.3333
0.5333,15,1,ForestGuardian,True,-2089788878,1.0852,False,6.5500,0.0000,5.0000,-0.1695,2.4800,5.3333
0.5667,16,1,ForestGuardian,True,-2089788878,1.0914,False,6.5500,0.0000,5.0000,-0.1698,2.4811,5.3333
0.6000,17,1,ForestGuardian,True,-2089788878,1.0977,False,6.5500,0.0000,5.0000,-0.1701,2.4821,5.3333
0.6333,18,1,ForestGuardian,True,-2089788878,1.1039,False,6.5500,0.0000,5.0000,-0.1703,2.4831,5.3333
0.6667,19,1,ForestGuardian,True,-2089788878,1.1102,False,6.5500,0.0000,5.0000,-0.1705,2.4840,5.3333
0.7000,20,1,ForestGuardian,True,-2089788878,1.1164,False,6.5500,0.0000,5.0000,-0.1708,2.4850,5.3333
0.7333,21,1,ForestGuardian,True,-2089788878,1.1227,False,6.5500,0.0000,5.0000,-0.1712,2.4858,5.3333
0.7667,22,1,ForestGuardian,True,-2089788878,1.1289,False,6.5500,0.0000,5.0000,-0.1716,2.4864,5.3333
0.8000,23,1,ForestGuardian,True,-2089788878,1.1352,False,6.5500,0.0000,5.0000,-0.1719,2.4870,5.3333
0.8333,24,1,ForestGuardian,True,-2089788878,1.1414,False,6.5500,0.0000,5.0000,-0.1722,2.4873,5.3333
0.8667,25,1,ForestGuardian,True,-2089788878,1.1477,False,6.5500,0.0000,5.0000,-0.1723,2.4874,5.3333
0.9000,26,1,ForestGuardian,True,-2089788878,1.1539,False,6.5500,0.0000,5.0000,-0.1725,2.4871,5.3333
0.9333,27,1,ForestGuardian,True,-2089788878,1.1602,False,6.5500,0.0000,5.0000,-0.1726,2.4867,5.3333
0.9667,28,1,ForestGuardian,True,-2089788878,1.1664,False,6.5500,0.0000,5.0000,-0.1727,2.4863,5.3333
1.0000,29,1,ForestGuardian,True,-2089788878,1.1727,False,6.5500,0.0000,5.0000,-0.1727,2.4861,5.3333
1.0333,30,1,ForestGuardian,True,-2089788878,1.1789,False,6.5500,0.0000,5.0000,-0.1726,2.4860,5.3333
1.0667,31,1,ForestGuardian,True,-2089788878,1.1852,False,6.5500,0.0000,5.0000,-0.1724,2.4859,5.3333
1.1000,32,1,ForestGuardian,True,-2089788878,1.1914,False,6.5500,0.0000,5.0000,-0.1721,2.4857,5.3333
1.1333,33,1,ForestGuardian,True,-2089788878,1.1977,False,6.5500,0.0000,5.0000,-0.1717,2.4855,5.3333
1.1667,34,1,ForestGuardian,True,-2089788878,1.2039,False,6.5500,0.0000,5.0000,-0.1712,2.4853,5.3333
1.2000,35,1,ForestGuardian,True,-2089788878,1.2102,False,6.5500,0.0000,5.0000,-0.1707,2.4850,5.3333
1.2333,36,1,ForestGuardian,True,-2089788878,1.2164,False,6.5500,0.0000,5.0000,-0.1702,2.4846,5.3333
1.2667,37,1,ForestGuardian,True,-2089788878,1.2227,False,6.5500,0.0000,5.0000,-0.1697,2.4839,5.3333
1.3000,38,1,ForestGuardian,True,-2089788878,1.2289,False,6.5500,0.0000,5.0000,-0.1692,2.4831,5.3333
1.3333,39,1,ForestGuardian,True,-2089788878,1.2352,False,6.5500,0.0000,5.0000,-0.1687,2.4823,5.3333
1.3667,40,1,ForestGuardian,True,-2089788878,1.2414,False,6.5500,0.0000,5.0000,-0.1682,2.4815,5.3333
1.4000,41,1,ForestGuardian,True,-2089788878,1.2477,False,6.5500,0.0000,5.0000,-0.1678,2.4808,5.3333
1.4333,42,1,ForestGuardian,True,-2089788878,1.2539,False,6.5500,0.0000,5.0000,-0.1676,2.4801,5.3333
1.4667,43,1,ForestGuardian,True,-2089788878,1.2602,False,6.5500,0.0000,5.0000,-0.1675,2.4792,5.3333
1.5000,44,1,ForestGuardian,True,-2089788878,1.2664,False,6.5500,0.0000,5.0000,-0.1674,2.4783,5.3333
1.5333,45,1,ForestGuardian,True,-2089788878,1.2727,False,6.5500,0.0000,5.0000,-0.1673,2.4774,5.3333
1.5667,46,1,ForestGuardian,True,-2089788878,1.2789,False,6.5500,0.0000,5.0000,-0.1671,2.4764,5.3333
1.6000,47,1,ForestGuardian,True,-2089788878,1.2852,False,6.5500,0.0000,5.0000,-0.1670,2.4754,5.3333
1.6333,48,1,ForestGuardian,True,-2089788878,1.2914,False,6.5500,0.0000,5.0000,-0.1667,2.4744,5.3333
1.6667,49,1,ForestGuardian,True,-2089788878,1.2977,False,6.5500,0.0000,5.0000,-0.1666,2.4735,5.3333
1.7000,50,1,ForestGuardian,True,-2089788878,1.3039,False,6.5500,0.0000,5.0000,-0.1665,2.4725,5.3333
1.7333,51,1,ForestGuardian,True,-2089788878,1.3102,False,6.5500,0.0000,5.0000,-0.1663,2.4714,5.3333
1.7667,52,1,ForestGuardian,True,-2089788878,1.3164,False,6.5500,0.0000,5.0000,-0.1660,2.4704,5.3333
1.8000,53,1,ForestGuardian,True,-2089788878,1.3227,False,6.5500,0.0000,5.0000,-0.1657,2.4695,5.3333
1.8333,54,1,ForestGuardian,True,-2089788878,1.3289,False,6.5500,0.0000,5.0000,-0.1653,2.4687,5.3333
1.8667,55,1,ForestGuardian,True,-2089788878,1.3352,False,6.5500,0.0000,5.0000,-0.1648,2.4683,5.3333
1.9000,56,1,ForestGuardian,True,-2089788878,1.3414,False,6.5500,0.0000,5.0000,-0.1645,2.4682,5.3333
1.9333,57,1,ForestGuardian,True,-2089788878,1.3477,False,6.5500,0.0000,5.0000,-0.1641,2.4685,5.3333
1.9667,58,1,ForestGuardian,True,-2089788878,1.3539,False,6.5500,0.0000,5.0000,-0.1639,2.4689,5.3333
2.0000,59,1,ForestGuardian,True,-2089788878,1.3602,False,6.5500,0.0000,5.0000,-0.1636,2.4695,5.3333
2.0333,60,1,ForestGuardian,True,-2089788878,1.3664,False,6.5500,0.0000,5.0000,-0.1635,2.4702,5.3333
2.0667,61,1,ForestGuardian,True,-2089788878,1.3727,False,6.5500,0.0000,5.0000,-0.1633,2.4712,5.3333
2.1000,62,1,ForestGuardian,True,-2089788878,1.3789,False,6.5500,0.0000,5.0000,-0.1633,2.4725,5.3333
2.1333,63,1,ForestGuardian,True,-2089788878,1.3852,False,6.5500,0.0000,5.0000,-0.1634,2.4741,5.3333
2.1667,64,1,ForestGuardian,True,-2089788878,1.3914,False,6.5500,0.0000,5.0000,-0.1636,2.4758,5.3333
2.2000,65,1,ForestGuardian,True,-2089788878,1.3977,False,6.5500,0.0000,5.0000,-0.1637,2.4775,5.3333
2.2333,66,1,ForestGuardian,True,-2089788878,1.4039,False,6.5500,0.0000,5.0000,-0.1639,2.4794,5.3333
2.2667,67,1,ForestGuardian,True,-2089788878,1.4102,False,6.5500,0.0000,5.0000,-0.1641,2.4815,5.3333
2.3000,68,1,ForestGuardian,True,-2089788878,1.4164,False,6.5500,0.0000,5.0000,-0.1644,2.4838,5.3333
2.3333,69,1,ForestGuardian,True,-2089788878,1.4227,False,6.5500,0.0000,5.0000,-0.1647,2.4861,5.3333
2.3667,70,1,ForestGuardian,True,-2089788878,1.4289,False,6.5500,0.0000,5.0000,-0.1650,2.4881,5.3333
2.4000,71,1,ForestGuardian,True,-2089788878,1.4352,False,6.5500,0.0000,5.0000,-0.1653,2.4898,5.3333
2.4333,72,1,ForestGuardian,True,-2089788878,1.4414,False,6.5500,0.0000,5.0000,-0.1656,2.4912,5.3333
2.4667,73,1,ForestGuardian,True,-2089788878,1.4477,False,6.5500,0.0000,5.0000,-0.1659,2.4923,5.3333
2.5000,74,1,ForestGuardian,True,-2089788878,1.4539,False,6.5500,0.0000,5.0000,-0.1661,2.4931,5.3333
2.5333,75,1,ForestGuardian,True,-2089788878,1.4602,False,6.5500,0.0000,5.0000,-0.1663,2.4939,5.3333
2.5667,76,1,ForestGuardian,True,-2089788878,1.4664,False,6.5500,0.0000,5.0000,-0.1664,2.4946,5.3333
2.6000,77,1,ForestGuardian,True,-2089788878,1.4727,False,6.5500,0.0000,5.0000,-0.1666,2.4952,5.3333
2.6333,78,1,ForestGuardian,True,-2089788878,1.4789,False,6.5500,0.0000,5.0000,-0.1668,2.4958,5.3333
2.6667,79,1,ForestGuardian,True,-2089788878,1.4852,False,6.5500,0.0000,5.0000,-0.1670,2.4962,5.3333
2.7000,80,1,ForestGuardian,True,-2089788878,1.4914,False,6.5500,0.0000,5.0000,-0.1672,2.4964,5.3333
2.7333,81,1,ForestGuardian,True,-2089788878,1.4977,False,6.5500,0.0000,5.0000,-0.1673,2.4963,5.3333
2.7667,82,1,ForestGuardian,True,-2089788878,1.5039,False,6.5500,0.0000,5.0000,-0.1675,2.4962,5.3333
2.8000,83,1,ForestGuardian,True,-2089788878,1.5102,False,6.5500,0.0000,5.0000,-0.1677,2.4957,5.3333
2.8333,84,1,ForestGuardian,True,-2089788878,1.5164,False,6.5500,0.0000,5.0000,-0.1678,2.4950,5.3333
2.8667,85,1,ForestGuardian,True,-2089788878,1.5227,False,6.5500,0.0000,5.0000,-0.1679,2.4949,5.3333
2.9000,86,1,ForestGuardian,True,-2089788878,1.5289,False,6.5500,0.0000,5.0000,-0.1679,2.4943,5.3333
2.9333,87,1,ForestGuardian,True,-2089788878,1.5352,False,6.5500,0.0000,5.0000,-0.1679,2.4929,5.3333
2.9667,88,1,ForestGuardian,True,-2089788878,1.5414,False,6.5500,0.0000,5.0000,-0.1678,2.4906,5.3333
3.0000,89,1,ForestGuardian,True,-2089788878,1.5477,False,6.5500,0.0000,5.0000,-0.1678,2.4894,5.3333
3.0333,90,1,ForestGuardian,True,-2089788878,1.5539,False,6.5500,0.0000,5.0000,-0.1678,2.4881,5.3333
3.0667,91,1,ForestGuardian,True,-2089788878,1.5602,False,6.5500,0.0000,5.0000,-0.1677,2.4869,5.3333
3.1000,92,1,ForestGuardian,True,-2089788878,1.5664,False,6.5500,0.0000,5.0000,-0.1677,2.4857,5.3333
3.1333,93,1,ForestGuardian,True,-2089788878,1.5727,False,6.5500,0.0000,5.0000,-0.1676,2.4846,5.3333
3.1667,94,1,ForestGuardian,True,-2089788878,1.5789,False,6.5500,0.0000,5.0000,-0.1675,2.4836,5.3333
3.2000,95,1,ForestGuardian,True,-2089788878,1.5852,False,6.5500,0.0000,5.0000,-0.1674,2.4828,5.3333
3.2333,96,1,ForestGuardian,True,-2089788878,1.5914,False,6.5500,0.0000,5.0000,-0.1672,2.4822,5.3333
3.2667,97,1,ForestGuardian,True,-2089788878,1.5977,False,6.5500,0.0000,5.0000,-0.1670,2.4817,5.3333
3.3000,98,1,ForestGuardian,True,-2089788878,1.6039,False,6.5500,0.0000,5.0000,-0.1667,2.4813,5.3333
3.3333,99,1,ForestGuardian,True,-2089788878,1.6102,False,6.5500,0.0000,5.0000,-0.1663,2.4809,5.3333
3.3667,100,1,ForestGuardian,True,-2089788878,1.6164,False,6.5500,0.0000,5.0000,-0.1660,2.4806,5.3333
3.4000,101,1,ForestGuardian,True,-2089788878,1.6227,False,6.5500,0.0000,5.0000,-0.1657,2.4803,5.3333
