time,tick,state,phase,transition,playback,moveX,moveY,rootX,rootY,rootZ,yaw,leftX,leftY,leftZ,rightX,rightY,rightZ,hipsYaw,turnPhase,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ
0.033333,0,RelaxedIdle_v5,0.000000,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148540,0.009978,5.280059,5.092548,0.006439,4.952383,88.455290,0.000000,5.092176,0.420601,5.183753,5.015428,0.401490,4.921414
0.066667,1,RelaxedIdle_v5,0.003680,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148742,0.009932,5.280069,5.092668,0.006447,4.952467,88.455290,0.000000,5.092385,0.420618,5.183839,5.015487,0.401509,4.921483
0.100000,2,RelaxedIdle_v5,0.007360,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148927,0.009905,5.280087,5.092803,0.006464,4.952550,88.455290,0.000000,5.092595,0.420641,5.183923,5.015557,0.401534,4.921555
0.133333,3,RelaxedIdle_v5,0.011040,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149096,0.009892,5.280117,5.092951,0.006485,4.952634,88.455290,0.000000,5.092803,0.420667,5.184005,5.015635,0.401563,4.921630
0.166667,4,RelaxedIdle_v5,0.014720,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149248,0.009887,5.280158,5.093108,0.006506,4.952719,88.455290,0.000000,5.093006,0.420693,5.184089,5.015717,0.401590,4.921712
0.200000,5,RelaxedIdle_v5,0.018400,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149381,0.009887,5.280211,5.093271,0.006525,4.952809,88.455290,0.000000,5.093203,0.420714,5.184175,5.015801,0.401614,4.921802
0.233333,6,RelaxedIdle_v5,0.022080,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149496,0.009886,5.280279,5.093438,0.006535,4.952904,88.455290,0.000000,5.093390,0.420726,5.184267,5.015884,0.401628,4.921900
0.266667,7,RelaxedIdle_v5,0.025760,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149586,0.009883,5.280364,5.093602,0.006537,4.953009,88.455290,0.000000,5.093563,0.420729,5.184367,5.015960,0.401632,4.922010
0.300000,8,RelaxedIdle_v5,0.029440,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149663,0.009885,5.280461,5.093770,0.006536,4.953117,88.455290,0.000000,5.093728,0.420728,5.184471,5.016035,0.401634,4.922128
0.333333,9,RelaxedIdle_v5,0.033120,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149726,0.009890,5.280568,5.093940,0.006532,4.953230,88.455290,0.000000,5.093884,0.420726,5.184579,5.016109,0.401633,4.922251
0.366667,10,RelaxedIdle_v5,0.036800,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149777,0.009898,5.280684,5.094110,0.006527,4.953346,88.455290,0.000000,5.094032,0.420721,5.184690,5.016179,0.401630,4.922379
0.400000,11,RelaxedIdle_v5,0.040480,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149816,0.009909,5.280809,5.094281,0.006520,4.953464,88.455290,0.000000,5.094170,0.420714,5.184803,5.016245,0.401625,4.922510
0.433333,12,RelaxedIdle_v5,0.044160,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149843,0.009923,5.280940,5.094450,0.006510,4.953583,88.455290,0.000000,5.094297,0.420706,5.184920,5.016306,0.401618,4.922645
0.466667,13,RelaxedIdle_v5,0.047840,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149860,0.009940,5.281077,5.094615,0.006500,4.953704,88.455290,0.000000,5.094413,0.420697,5.185037,5.016360,0.401611,4.922781
0.500000,14,RelaxedIdle_v5,0.051520,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149862,0.009980,5.281210,5.094770,0.006510,4.953817,88.455290,0.000000,5.094512,0.420709,5.185148,5.016400,0.401624,4.922909
0.533333,15,RelaxedIdle_v5,0.055200,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149858,0.010043,5.281337,5.094923,0.006540,4.953920,88.455290,0.000000,5.094601,0.420743,5.185251,5.016434,0.401659,4.923028
0.566667,16,RelaxedIdle_v5,0.058880,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149853,0.010123,5.281460,5.095074,0.006584,4.954016,88.455290,0.000000,5.094682,0.420792,5.185349,5.016463,0.401709,4.923141
0.600000,17,RelaxedIdle_v5,0.062560,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149850,0.010213,5.281581,5.095227,0.006637,4.954109,88.455290,0.000000,5.094759,0.420850,5.185443,5.016491,0.401769,4.923248
0.633333,18,RelaxedIdle_v5,0.066240,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149854,0.010307,5.281703,5.095382,0.006692,4.954200,88.455290,0.000000,5.094834,0.420913,5.185538,5.016518,0.401832,4.923353
0.666667,19,RelaxedIdle_v5,0.069920,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149868,0.010397,5.281827,5.095542,0.006743,4.954292,88.455290,0.000000,5.094910,0.420974,5.185637,5.016547,0.401894,4.923458
0.700000,20,RelaxedIdle_v5,0.073600,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149898,0.010479,5.281955,5.095709,0.006784,4.954388,88.455290,0.000000,5.094989,0.421027,5.185742,5.016581,0.401948,4.923565
0.733333,21,RelaxedIdle_v5,0.077280,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149943,0.010537,5.282085,5.095881,0.006802,4.954484,88.455290,0.000000,5.095070,0.421059,5.185850,5.016616,0.401981,4.923671
0.766667,22,RelaxedIdle_v5,0.080960,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149997,0.010589,5.282208,5.096050,0.006816,4.954576,88.455290,0.000000,5.095145,0.421089,5.185955,5.016646,0.402012,4.923769
0.800000,23,RelaxedIdle_v5,0.084640,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.150059,0.010637,5.282325,5.096211,0.006826,4.954661,88.455290,0.000000,5.095211,0.421118,5.186057,5.016666,0.402042,4.923858
0.833333,24,RelaxedIdle_v5,0.088320,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.150128,0.010678,5.282435,5.096364,0.006832,4.954742,88.455290,0.000000,5.095267,0.421144,5.186158,5.016675,0.402069,4.923940
0.866667,25,RelaxedIdle_v5,0.092000,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148532,0.009968,5.280076,5.092540,0.006430,4.952399,88.484320,0.000000,5.092264,0.420570,5.183798,5.015504,0.401437,4.921361
0.900000,26,RelaxedIdle_v5,0.095680,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.150699,0.018873,5.279639,5.092537,0.006426,4.952404,89.096990,0.000000,5.105340,0.426546,5.190965,5.017224,0.400535,4.919993
0.933333,27,RelaxedIdle_v5,0.099360,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.169428,0.038197,5.275575,5.092538,0.006427,4.952403,90.463070,0.000000,5.133306,0.441662,5.205543,5.020684,0.398689,4.917292
0.966667,28,RelaxedIdle_v5,0.103040,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.201659,0.053181,5.267551,5.092539,0.006428,4.952402,92.495960,0.000000,5.158993,0.456987,5.218317,5.024920,0.396264,4.913850
1.000000,29,RelaxedIdle_v5,0.106720,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.240231,0.061432,5.256188,5.092540,0.006429,4.952400,95.111690,0.000000,5.180357,0.470112,5.228547,5.028915,0.393586,4.909888
1.033333,30,RelaxedIdle_v5,0.110400,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.278713,0.061598,5.242887,5.092541,0.006431,4.952397,98.226530,0.000000,5.196659,0.477905,5.234021,5.031760,0.390900,4.905316
1.066667,31,RelaxedIdle_v5,0.114080,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.312134,0.053692,5.229725,5.092543,0.006432,4.952394,101.756800,0.000000,5.208774,0.477967,5.231093,5.032729,0.388388,4.899964
1.100000,32,RelaxedIdle_v5,0.117760,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.337189,0.039031,5.218905,5.092544,0.006434,4.952392,105.619000,0.000000,5.216263,0.469406,5.217707,5.031274,0.386183,4.893772
1.133333,33,RelaxedIdle_v5,0.121440,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.351762,0.019974,5.212264,5.092546,0.006436,4.952389,109.729400,0.000000,5.214855,0.452798,5.199084,5.027013,0.384371,4.886864
1.166667,34,RelaxedIdle_v5,0.125120,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354722,0.006235,5.210882,5.092547,0.006437,4.952386,114.003900,0.000000,5.211256,0.438332,5.184916,5.019737,0.382991,4.879566
1.200000,35,RelaxedIdle_v5,0.128800,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354713,0.006439,5.210886,5.092549,0.006439,4.952383,118.358300,0.000000,5.220090,0.436957,5.173504,5.009441,0.382013,4.872357
1.233333,36,RelaxedIdle_v5,0.132480,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354714,0.006441,5.210884,5.091388,0.012633,4.951478,122.707600,0.000000,5.225906,0.434824,5.162120,4.998632,0.383928,4.860371
1.266667,37,RelaxedIdle_v5,0.136160,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354716,0.006442,5.210882,5.073937,0.031872,4.938395,126.966300,0.000000,5.229343,0.432336,5.151048,4.988843,0.392329,4.839823
1.300000,38,RelaxedIdle_v5,0.139840,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354717,0.006443,5.210880,5.038257,0.047188,4.914149,131.048500,0.000000,5.230786,0.429647,5.140538,4.976353,0.400187,4.825598
1.333333,39,RelaxedIdle_v5,0.143520,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354717,0.006444,5.210878,4.988219,0.057252,4.885067,134.867600,0.000000,5.230634,0.426891,5.130836,4.962691,0.405773,4.817976
1.366667,40,RelaxedIdle_v5,0.147200,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354718,0.006444,5.210878,4.929357,0.061142,4.857161,138.336900,0.000000,5.229322,0.424200,5.122172,4.947722,0.407481,4.816706
1.400000,41,RelaxedIdle_v5,0.150880,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.354718,0.006444,5.210878,4.869368,0.058457,4.834837,141.369700,0.000000,5.227308,0.421704,5.114750,4.930781,0.404890,4.820638
