time,tick,attack,damage,variant,state,phase,upperWeight,lowerWeight,bladeX,bladeY,bladeZ,cast,abilityDamage,baseState,basePhase,deaths,timeScale,heldAnchor,flyingAnchors,handX,handY,handZ
0.033333,0,0,0,-1,other,0.000000,0.000000,0.000000,-0.117334,0.274901,-0.488358,0,0,1160858440,0.000000,0,1.000000,1,0,-0.329000,0.889821,0.020846
0.066667,1,0,0,-1,other,0.022222,0.034294,0.000000,-0.117421,0.274917,-0.488149,0,0,1160858440,0.003680,0,1.000000,1,0,-0.329446,0.888497,0.022253
0.100000,2,0,0,-1,other,0.044444,0.126200,0.000000,-0.117504,0.274940,-0.487939,0,0,1160858440,0.007360,0,1.000000,1,0,-0.329797,0.884479,0.025512
0.133333,3,0,0,-1,other,0.066667,0.259259,0.000000,-0.117587,0.274967,-0.487732,0,0,1160858440,0.011040,0,1.000000,1,0,-0.328614,0.877646,0.029336
0.166667,4,0,0,-1,other,0.088889,0.417010,0.000000,-0.117670,0.274992,-0.487528,0,0,1160858440,0.014720,0,1.000000,1,0,-0.324435,0.867967,0.032455
0.200000,5,0,0,-1,other,0.111111,0.582990,0.000000,-0.117756,0.275013,-0.487332,0,0,1160858440,0.018400,0,1.000000,1,0,-0.316465,0.856193,0.033897
0.233333,6,0,0,-1,other,0.133333,0.740741,0.000000,-0.117848,0.275025,-0.487145,0,0,1160858440,0.022080,0,1.000000,1,0,-0.305851,0.845909,0.032625
0.266667,7,0,0,-1,other,0.155556,0.873800,0.000000,-0.117948,0.275028,-0.486972,0,0,1160858440,0.025760,0,1.000000,1,0,-0.293687,0.842682,0.028954
0.300000,8,0,0,-1,other,0.177778,0.965707,0.000000,-0.118052,0.275028,-0.486807,0,0,1160858440,0.029440,0,1.000000,1,0,-0.283755,0.849757,0.023438
0.333333,9,0,0,-1,other,0.200000,1.000000,0.000000,-0.118160,0.275025,-0.486650,0,0,1160858440,0.033120,0,1.000000,1,0,-0.278328,0.865053,0.013860
0.366667,10,0,0,-1,other,0.222222,1.000000,0.000000,-0.118271,0.275020,-0.486502,0,0,1160858440,0.036800,0,1.000000,1,0,-0.271816,0.883761,-0.002337
0.400000,11,0,0,-1,other,0.244444,1.000000,0.000000,-0.118385,0.275013,-0.486365,0,0,1160858440,0.040480,0,1.000000,1,0,-0.263644,0.901503,-0.022096
0.433333,12,0,0,-1,other,0.266667,1.000000,0.000000,-0.118501,0.275005,-0.486237,0,0,1160858440,0.044160,0,1.000000,1,0,-0.255378,0.914023,-0.039324
0.466667,13,0,0,-1,other,0.288889,1.000000,0.000000,-0.118619,0.274997,-0.486121,0,0,1160858440,0.047840,0,1.000000,1,0,-0.247258,0.918624,-0.055625
0.500000,14,0,0,-1,other,0.311111,1.000000,0.000000,-0.118730,0.275009,-0.486023,0,0,1160858440,0.051520,0,1.000000,1,0,-0.241370,0.914855,-0.064904
0.533333,15,0,0,-1,other,0.333333,1.000000,0.000000,-0.118833,0.275042,-0.485934,0,0,1160858440,0.055200,0,1.000000,1,0,-0.239413,0.907652,-0.066657
0.566667,16,0,0,-1,other,0.355556,1.000000,0.000000,-0.118930,0.275091,-0.485852,0,0,1160858440,0.058880,0,1.000000,1,0,-0.239803,0.902719,-0.069103
0.600000,17,0,0,-1,other,0.377778,1.000000,0.000000,-0.119025,0.275150,-0.485775,0,0,1160858440,0.062560,0,1.000000,1,0,-0.240392,0.903481,-0.073199
0.633333,18,0,0,-1,other,0.400000,1.000000,0.000000,-0.119120,0.275212,-0.485700,0,0,1160858440,0.066240,0,1.000000,1,0,-0.241867,0.908181,-0.076062
