clip,time,length,leftX,leftY,leftZ,rightX,rightY,rightZ,hipsYaw,rootYaw
Run,0.000000,0.550000,-0.205559,0.148242,0.015752,0.185021,0.026491,-0.146649,10.048430,0.000000
Run,0.004167,0.550000,-0.202911,0.141774,0.036195,0.184714,0.025396,-0.165253,9.469713,0.000000
Run,0.008333,0.550000,-0.200318,0.136311,0.057191,0.184123,0.024667,-0.183662,8.873959,0.000000
Run,0.012500,0.550000,-0.197356,0.131471,0.078684,0.183494,0.024288,-0.202029,8.262306,0.000000
Run,0.016667,0.550000,-0.193553,0.126887,0.100667,0.183094,0.024270,-0.220547,7.635838,0.000000
Run,0.020833,0.550000,-0.188606,0.122649,0.123590,0.182907,0.025002,-0.238877,6.995571,0.000000
Run,0.025000,0.550000,-0.182505,0.118520,0.146825,0.183004,0.025955,-0.257349,6.342448,0.000000
Run,0.029167,0.550000,-0.175703,0.114791,0.170099,0.183270,0.026975,-0.275812,5.677330,0.000000
Run,0.033333,0.550000,-0.168655,0.111656,0.193095,0.183599,0.027890,-0.294107,5.000989,0.000000
Run,0.037500,0.550000,-0.161286,0.108816,0.215897,0.184258,0.028571,-0.311961,4.328940,0.000000
Run,0.041667,0.550000,-0.153178,0.106500,0.238319,0.185409,0.029486,-0.329540,3.679935,0.000000
Run,0.045833,0.550000,-0.144681,0.104849,0.260160,0.186526,0.030600,-0.346874,3.059591,0.000000
Run,0.050000,0.550000,-0.136352,0.103969,0.281315,0.187081,0.031873,-0.364036,2.473588,0.000000
Run,0.054167,0.550000,-0.128519,0.103871,0.301911,0.186849,0.033489,-0.381443,1.927665,0.000000
Run,0.058333,0.550000,-0.120973,0.104480,0.322034,0.186506,0.035539,-0.398839,1.427613,0.000000
Run,0.062500,0.550000,-0.113788,0.105734,0.341501,0.186636,0.037770,-0.415463,0.979282,0.000000
Run,0.066667,0.550000,-0.107058,0.107542,0.360144,0.187704,0.039820,-0.430574,0.588587,0.000000
Run,0.070833,0.550000,-0.100824,0.109118,0.377278,0.189975,0.040593,-0.443981,0.261514,0.000000
Run,0.075000,0.550000,-0.095271,0.110969,0.393312,0.192954,0.041138,-0.455406,0.004135,0.000000
Run,0.079167,0.550000,-0.090520,0.112913,0.408138,0.196057,0.042135,-0.465633,359.822600,0.000000
Run,0.083333,0.550000,-0.086684,0.114746,0.421668,0.198719,0.044060,-0.475686,359.723300,0.000000
Run,0.087500,0.550000,-0.083835,0.116148,0.433590,0.201674,0.046299,-0.485381,359.678600,0.000000
Run,0.091667,0.550000,-0.081770,0.117053,0.444255,0.205190,0.048617,-0.493339,359.652400,0.000000
Run,0.095833,0.550000,-0.080517,0.117451,0.453512,0.207831,0.051662,-0.500640,359.637500,0.000000
Run,0.100000,0.550000,-0.080063,0.117300,0.461198,0.208455,0.055928,-0.509049,359.626600,0.000000
Run,0.104167,0.550000,-0.080624,0.117306,0.467786,0.205227,0.062030,-0.520035,359.612200,0.000000
Run,0.108333,0.550000,-0.081833,0.116600,0.472503,0.199619,0.069185,-0.533319,359.586700,0.000000
Run,0.112500,0.550000,-0.083557,0.115085,0.475219,0.194569,0.077576,-0.546305,359.542400,0.000000
Run,0.116667,0.550000,-0.085630,0.112676,0.475823,0.192522,0.086456,-0.556420,359.471400,0.000000
Run,0.120833,0.550000,-0.087987,0.108454,0.474302,0.194333,0.093735,-0.562413,359.365900,0.000000
Run,0.125000,0.550000,-0.090718,0.103724,0.471423,0.197969,0.100671,-0.565547,359.218200,0.000000
Run,0.129167,0.550000,-0.093636,0.098441,0.466799,0.201645,0.107664,-0.568600,359.020600,0.000000
Run,0.133333,0.550000,-0.096509,0.092581,0.460040,0.203621,0.114943,-0.574403,358.765700,0.000000
Run,0.137500,0.550000,-0.099512,0.085486,0.451107,0.202719,0.123171,-0.584071,358.463400,0.000000
Run,0.141667,0.550000,-0.102820,0.078410,0.440162,0.200088,0.134389,-0.594544,358.133700,0.000000
Run,0.145833,0.550000,-0.106477,0.071806,0.427455,0.197139,0.148078,-0.602424,357.783800,0.000000
Run,0.150000,0.550000,-0.110544,0.066153,0.413260,0.195232,0.162560,-0.606124,357.421300,0.000000
Run,0.154167,0.550000,-0.115792,0.060824,0.397584,0.194177,0.176939,-0.606709,357.053600,0.000000
Run,0.158333,0.550000,-0.121694,0.057279,0.380914,0.193049,0.193894,-0.604213,356.688200,0.000000
Run,0.162500,0.550000,-0.126873,0.054809,0.363539,0.191787,0.211802,-0.598400,356.332400,0.000000
Run,0.166667,0.550000,-0.130224,0.052462,0.345707,0.190529,0.228462,-0.589808,355.993700,0.000000
Run,0.170833,0.550000,-0.131369,0.048529,0.326358,0.189379,0.241867,-0.579472,355.679200,0.000000
Run,0.175000,0.550000,-0.130763,0.044691,0.305598,0.188425,0.254178,-0.567670,355.396300,0.000000
Run,0.179167,0.550000,-0.129451,0.041486,0.284682,0.187238,0.265811,-0.554856,355.152000,0.000000
Run,0.183333,0.550000,-0.128391,0.039156,0.264884,0.185492,0.277033,-0.541286,354.953400,0.000000
Run,0.187500,0.550000,-0.128047,0.037826,0.245574,0.183252,0.288015,-0.527595,354.777500,0.000000
Run,0.191667,0.550000,-0.127925,0.036709,0.226488,0.181167,0.297902,-0.512976,354.597600,0.000000
Run,0.195833,0.550000,-0.127876,0.035614,0.207429,0.179431,0.306443,-0.497417,354.414700,0.000000
Run,0.200000,0.550000,-0.127752,0.034379,0.188196,0.178229,0.313399,-0.480913,354.229900,0.000000
Run,0.204167,0.550000,-0.127410,0.033778,0.168704,0.177693,0.319462,-0.463901,354.044500,0.000000
Run,0.208333,0.550000,-0.126912,0.033081,0.149538,0.177691,0.323956,-0.446389,353.859500,0.000000
Run,0.212500,0.550000,-0.126268,0.032176,0.130565,0.178159,0.326829,-0.428625,353.676500,0.000000
Run,0.216667,0.550000,-0.125478,0.030962,0.111652,0.179032,0.327980,-0.410828,353.496800,0.000000
Run,0.220833,0.550000,-0.124442,0.030332,0.092916,0.180423,0.328245,-0.392825,353.322000,0.000000
Run,0.225000,0.550000,-0.123351,0.029580,0.073934,0.182149,0.326932,-0.375040,353.153800,0.000000
Run,0.229167,0.550000,-0.122231,0.028675,0.054740,0.184116,0.324043,-0.357523,352.993900,0.000000
Run,0.233333,0.550000,-0.121099,0.027586,0.035354,0.186245,0.319543,-0.340269,352.844400,0.000000
Run,0.237500,0.550000,-0.119951,0.027182,0.016588,0.188645,0.314264,-0.322327,352.707200,0.000000
Run,0.241667,0.550000,-0.118809,0.026549,-0.002355,0.191407,0.307350,-0.304312,352.584200,0.000000
Run,0.245833,0.550000,-0.117677,0.025680,-0.021478,0.194481,0.298901,-0.286099,352.477700,0.000000
Run,0.250000,0.550000,-0.116564,0.024578,-0.040782,0.197819,0.289024,-0.267545,352.389600,0.000000
Run,0.254167,0.550000,-0.115709,0.024777,-0.059354,0.200890,0.279001,-0.247603,352.351000,0.000000
Run,0.258333,0.550000,-0.114959,0.025076,-0.078109,0.203546,0.267592,-0.227256,352.389500,0.000000
Run,0.262500,0.550000,-0.114284,0.025343,-0.096810,0.205785,0.255112,-0.206451,352.501500,0.000000
Run,0.266667,0.550000,-0.113687,0.025412,-0.115214,0.207589,0.241858,-0.185185,352.683700,0.000000
Run,0.270833,0.550000,-0.113913,0.026385,-0.133064,0.208756,0.229431,-0.162613,352.932700,0.000000
Run,0.275000,0.550000,-0.114830,0.027089,-0.151488,0.209758,0.216818,-0.139583,353.244900,0.000000
Run,0.279167,0.550000,-0.116009,0.027547,-0.169733,0.210668,0.204195,-0.116170,353.616800,0.000000
Run,0.283333,0.550000,-0.116927,0.027458,-0.187060,0.211541,0.191709,-0.092516,354.044700,0.000000
Run,0.287500,0.550000,-0.118413,0.026733,-0.203223,0.211719,0.180296,-0.067947,354.525100,0.000000
Run,0.291667,0.550000,-0.120665,0.024794,-0.219271,0.211403,0.169032,-0.042646,355.054400,0.000000
Run,0.295833,0.550000,-0.123223,0.023186,-0.234891,0.210775,0.158118,-0.016589,355.629100,0.000000
Run,0.300000,0.550000,-0.125514,0.023311,-0.249682,0.210044,0.147760,0.010214,356.245600,0.000000
Run,0.304167,0.550000,-0.127411,0.024639,-0.264377,0.209103,0.137041,0.036684,356.892900,0.000000
