time,tick,attack,damage,variant,state,phase,upperWeight,lowerWeight,bladeX,bladeY,bladeZ,cast,abilityDamage,baseState,basePhase,deaths,timeScale,heldAnchor,flyingAnchors,handX,handY,handZ
0.016667,0,0,0,-1,other,0.000000,0.000000,0.000000,-0.117334,0.274901,-0.488358,0,0,1160858440,0.000000,0,1.000000,1,0,-0.329000,0.889821,0.020846
0.033333,0,0,0,-1,other,0.011111,0.008916,0.000000,-0.117378,0.274908,-0.488254,0,0,1160858440,0.001840,0,1.000000,1,0,-0.329164,0.889498,0.021238
0.050000,1,0,0,-1,other,0.022222,0.034294,0.000000,-0.117421,0.274917,-0.488149,0,0,1160858440,0.003680,0,1.000000,1,0,-0.329446,0.888497,0.022253
0.066667,1,0,0,-1,other,0.033333,0.074074,0.000000,-0.117463,0.274928,-0.488044,0,0,1160858440,0.005520,0,1.000000,1,0,-0.329715,0.886828,0.023731
0.083333,2,0,0,-1,other,0.044444,0.126200,0.000000,-0.117504,0.274940,-0.487939,0,0,1160858440,0.007360,0,1.000000,1,0,-0.329797,0.884479,0.025512
0.100000,2,0,0,-1,other,0.055556,0.188615,0.000000,-0.117545,0.274953,-0.487835,0,0,1160858440,0.009200,0,1.000000,1,0,-0.329496,0.881424,0.027435
0.116667,3,0,0,-1,other,0.066667,0.259259,0.000000,-0.117587,0.274967,-0.487732,0,0,1160858440,0.011040,0,1.000000,1,0,-0.328614,0.877646,0.029336
0.133333,3,0,0,-1,other,0.077778,0.336077,0.000000,-0.117628,0.274980,-0.487629,0,0,1160858440,0.012880,0,1.000000,1,0,-0.326974,0.873148,0.031059
0.150000,4,0,0,-1,other,0.088889,0.417010,0.000000,-0.117670,0.274992,-0.487528,0,0,1160858440,0.014720,0,1.000000,1,0,-0.324435,0.867967,0.032455
0.166667,4,0,0,-1,other,0.100000,0.500000,0.000000,-0.117713,0.275004,-0.487429,0,0,1160858440,0.016560,0,1.000000,1,0,-0.320909,0.862205,0.033436
0.183333,5,0,0,-1,other,0.111111,0.582990,0.000000,-0.117756,0.275013,-0.487332,0,0,1160858440,0.018400,0,1.000000,1,0,-0.316465,0.856193,0.033897
0.200000,5,0,0,-1,other,0.122222,0.663923,0.000000,-0.117802,0.275021,-0.487237,0,0,1160858440,0.020240,0,1.000000,1,0,-0.311329,0.850500,0.033678
0.216667,6,0,0,-1,other,0.133333,0.740741,0.000000,-0.117848,0.275025,-0.487145,0,0,1160858440,0.022080,0,1.000000,1,0,-0.305851,0.845909,0.032625
0.233333,6,0,0,-1,other,0.144445,0.811386,0.000000,-0.117898,0.275027,-0.487057,0,0,1160858440,0.023920,0,1.000000,1,0,-0.299972,0.843179,0.031116
0.250000,7,0,0,-1,other,0.155556,0.873800,0.000000,-0.117948,0.275028,-0.486972,0,0,1160858440,0.025760,0,1.000000,1,0,-0.293687,0.842682,0.028954
0.266667,7,0,0,-1,other,0.166667,0.925926,0.000000,-0.118000,0.275028,-0.486889,0,0,1160858440,0.027600,0,1.000000,1,0,-0.287994,0.844906,0.026462
0.283333,8,0,0,-1,other,0.177778,0.965707,0.000000,-0.118052,0.275028,-0.486807,0,0,1160858440,0.029440,0,1.000000,1,0,-0.283755,0.849757,0.023438
0.300000,8,0,0,-1,other,0.188889,0.991084,0.000000,-0.118106,0.275027,-0.486727,0,0,1160858440,0.031280,0,1.000000,1,0,-0.280762,0.856630,0.019122
0.316667,9,0,0,-1,other,0.200000,1.000000,0.000000,-0.118160,0.275025,-0.486650,0,0,1160858440,0.033120,0,1.000000,1,0,-0.278328,0.865053,0.013860
