time,tick,state,phase,transition,playback,moveX,moveY,rootX,rootY,rootZ,yaw,leftX,leftY,leftZ,rightX,rightY,rightZ,hipsYaw,turnPhase,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ
0.016667,0,RelaxedIdle_v5,0.000000,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.851460,0.009978,5.280059,-12.907450,0.006439,4.952383,88.455290,0.000000,-12.907820,0.420601,5.183753,-12.984570,0.401490,4.921414
0.033333,0,RelaxedIdle_v5,0.001840,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.851360,0.009952,5.280063,-12.907390,0.006441,4.952425,88.455290,0.000000,-12.907720,0.420608,5.183796,-12.984540,0.401498,4.921448
0.050000,1,RelaxedIdle_v5,0.003680,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.851260,0.009932,5.280069,-12.907330,0.006447,4.952467,88.455290,0.000000,-12.907610,0.420618,5.183839,-12.984510,0.401509,4.921483
0.066667,1,RelaxedIdle_v5,0.005520,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.851160,0.009917,5.280077,-12.907270,0.006454,4.952509,88.455290,0.000000,-12.907510,0.420629,5.183881,-12.984480,0.401521,4.921518
0.083333,2,RelaxedIdle_v5,0.007360,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.851070,0.009905,5.280087,-12.907200,0.006464,4.952550,88.455290,0.000000,-12.907400,0.420641,5.183923,-12.984440,0.401534,4.921555
0.100000,2,RelaxedIdle_v5,0.009200,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850990,0.009897,5.280101,-12.907120,0.006474,4.952592,88.455290,0.000000,-12.907300,0.420654,5.183964,-12.984410,0.401548,4.921592
0.116667,3,RelaxedIdle_v5,0.011040,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850900,0.009892,5.280117,-12.907050,0.006485,4.952634,88.455290,0.000000,-12.907200,0.420667,5.184005,-12.984370,0.401563,4.921630
0.133333,3,RelaxedIdle_v5,0.012880,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850830,0.009888,5.280136,-12.906970,0.006496,4.952676,88.455290,0.000000,-12.907090,0.420680,5.184047,-12.984320,0.401577,4.921670
0.150000,4,RelaxedIdle_v5,0.014720,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850750,0.009887,5.280158,-12.906890,0.006506,4.952719,88.455290,0.000000,-12.906990,0.420693,5.184089,-12.984280,0.401590,4.921712
0.166667,4,RelaxedIdle_v5,0.016560,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850680,0.009886,5.280182,-12.906810,0.006516,4.952764,88.455290,0.000000,-12.906890,0.420704,5.184131,-12.984240,0.401603,4.921756
0.183333,5,RelaxedIdle_v5,0.018400,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850620,0.009887,5.280211,-12.906730,0.006525,4.952809,88.455290,0.000000,-12.906800,0.420714,5.184175,-12.984200,0.401614,4.921802
0.200000,5,RelaxedIdle_v5,0.020240,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850560,0.009887,5.280243,-12.906650,0.006531,4.952856,88.455290,0.000000,-12.906700,0.420721,5.184220,-12.984160,0.401622,4.921850
0.216667,6,RelaxedIdle_v5,0.022080,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850500,0.009886,5.280279,-12.906560,0.006535,4.952904,88.455290,0.000000,-12.906610,0.420726,5.184267,-12.984120,0.401628,4.921900
0.233333,6,RelaxedIdle_v5,0.023920,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850460,0.009884,5.280320,-12.906480,0.006536,4.952956,88.455290,0.000000,-12.906520,0.420728,5.184316,-12.984080,0.401630,4.921955
0.250000,7,RelaxedIdle_v5,0.025760,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850410,0.009883,5.280364,-12.906400,0.006537,4.953009,88.455290,0.000000,-12.906440,0.420729,5.184367,-12.984040,0.401632,4.922010
0.266667,7,RelaxedIdle_v5,0.027600,0,0.000000,0.000000,1.000000,-13.000000,0.000000,5.000000,90.000000,-12.850370,0.009884,5.280411,-12.906310,0.006537,4.953063,88.455290,0.000000,-12.906350,0.420729,5.184418,-12.984000,0.401634,4.922068
