clip,time,length,bladeX,bladeY,bladeZ,hipsYaw,leftX,leftY,leftZ,rightX,rightY,rightZ
Pelag_MX_SaberAttackA,0.000000,0.800000,-0.549207,0.264004,-0.200509,50.496680,-0.112450,0.007673,0.466202,0.291052,0.011150,-0.214914
Pelag_MX_SaberAttackA,0.003333,0.800000,-0.549543,0.263673,-0.197564,50.801830,-0.112674,0.007661,0.466964,0.290793,0.011135,-0.214163
Pelag_MX_SaberAttackA,0.006667,0.800000,-0.549605,0.263194,-0.194982,51.063180,-0.112906,0.007707,0.467793,0.290595,0.011172,-0.213419
Pelag_MX_SaberAttackA,0.010000,0.800000,-0.549507,0.262632,-0.192606,51.299420,-0.113141,0.007790,0.468662,0.290436,0.011241,-0.212677
Pelag_MX_SaberAttackA,0.013333,0.800000,-0.549361,0.262052,-0.190283,51.529230,-0.113375,0.007890,0.469543,0.290293,0.011323,-0.211931
Pelag_MX_SaberAttackA,0.016667,0.800000,-0.549277,0.261519,-0.187857,51.771380,-0.113604,0.007989,0.470413,0.290148,0.011400,-0.211176
Pelag_MX_SaberAttackA,0.020000,0.800000,-0.549360,0.261095,-0.185169,52.044620,-0.113824,0.008072,0.471249,0.289984,0.011456,-0.210408
Pelag_MX_SaberAttackA,0.023333,0.800000,-0.549714,0.260844,-0.182061,52.367760,-0.114033,0.008123,0.472032,0.289786,0.011478,-0.209624
Pelag_MX_SaberAttackA,0.026667,0.800000,-0.550440,0.260829,-0.178374,52.759610,-0.114228,0.008130,0.472745,0.289544,0.011454,-0.208822
Pelag_MX_SaberAttackA,0.030000,0.800000,-0.551628,0.261112,-0.173944,53.239070,-0.114407,0.008085,0.473375,0.289250,0.011376,-0.208003
Pelag_MX_SaberAttackA,0.033333,0.800000,-0.553365,0.261757,-0.168601,53.825080,-0.114573,0.007981,0.473912,0.288901,0.011238,-0.207174
Pelag_MX_SaberAttackA,0.036667,0.800000,-0.555667,0.262769,-0.162193,54.533870,-0.114493,0.007722,0.474538,0.288506,0.011048,-0.206386
Pelag_MX_SaberAttackA,0.040000,0.800000,-0.558415,0.264086,-0.154789,55.354990,-0.114041,0.007273,0.475374,0.288091,0.010831,-0.205678
Pelag_MX_SaberAttackA,0.043333,0.800000,-0.561485,0.265667,-0.146556,56.267370,-0.113377,0.006729,0.476323,0.287683,0.010618,-0.205037
Pelag_MX_SaberAttackA,0.046667,0.800000,-0.564758,0.267473,-0.137664,57.249940,-0.112667,0.006181,0.477298,0.287307,0.010436,-0.204450
Pelag_MX_SaberAttackA,0.050000,0.800000,-0.568125,0.269465,-0.128286,58.281590,-0.112078,0.005717,0.478215,0.286981,0.010310,-0.203903
Pelag_MX_SaberAttackA,0.053333,0.800000,-0.571488,0.271601,-0.118602,59.341180,-0.111779,0.005426,0.478997,0.286720,0.010259,-0.203375
Pelag_MX_SaberAttackA,0.056667,0.800000,-0.574765,0.273844,-0.108798,60.407640,-0.111938,0.005395,0.479574,0.286533,0.010298,-0.202842
Pelag_MX_SaberAttackA,0.060000,0.800000,-0.577886,0.276153,-0.099065,61.459870,-0.112726,0.005714,0.479881,0.286425,0.010437,-0.202274
Pelag_MX_SaberAttackA,0.063333,0.800000,-0.580799,0.278492,-0.089594,62.476920,-0.114309,0.006480,0.479853,0.286396,0.010681,-0.201635
Pelag_MX_SaberAttackA,0.066667,0.800000,-0.583462,0.280822,-0.080584,63.437810,-0.116851,0.007801,0.479423,0.286442,0.011031,-0.200880
Pelag_MX_SaberAttackA,0.070000,0.800000,-0.586055,0.281898,-0.071270,64.423260,-0.120398,0.008674,0.478832,0.286509,0.010204,-0.200097
Pelag_MX_SaberAttackA,0.073333,0.800000,-0.588692,0.283127,-0.061014,65.500160,-0.124768,0.010592,0.478325,0.286595,0.009573,-0.199408
Pelag_MX_SaberAttackA,0.076667,0.800000,-0.591264,0.284478,-0.050218,66.626850,-0.129784,0.013431,0.477815,0.286756,0.009146,-0.198809
Pelag_MX_SaberAttackA,0.080000,0.800000,-0.593691,0.285924,-0.039290,67.761440,-0.135280,0.017038,0.477205,0.287039,0.008918,-0.198286
Pelag_MX_SaberAttackA,0.083333,0.800000,-0.595929,0.287436,-0.028648,68.861810,-0.141117,0.021209,0.476398,0.287483,0.008873,-0.197809
Pelag_MX_SaberAttackA,0.086667,0.800000,-0.597961,0.288985,-0.018713,69.885720,-0.147185,0.025683,0.475301,0.288115,0.008985,-0.197329
Pelag_MX_SaberAttackA,0.090000,0.800000,-0.599800,0.290546,-0.009910,70.790820,-0.153415,0.030139,0.473825,0.288956,0.009216,-0.196782
Pelag_MX_SaberAttackA,0.093333,0.800000,-0.601480,0.292091,-0.002668,71.534700,-0.159774,0.034207,0.471872,0.290023,0.009517,-0.196088
Pelag_MX_SaberAttackA,0.096667,0.800000,-0.603046,0.293597,0.002585,72.074920,-0.166257,0.037476,0.469320,0.291331,0.009837,-0.195151
Pelag_MX_SaberAttackA,0.100000,0.800000,-0.604541,0.295037,0.005420,72.369020,-0.172866,0.039518,0.466001,0.292894,0.010120,-0.193868
Pelag_MX_SaberAttackA,0.103333,0.800000,-0.605923,0.296333,0.006931,72.528940,-0.180136,0.040235,0.461211,0.294849,0.010504,-0.191893
Pelag_MX_SaberAttackA,0.106667,0.800000,-0.607171,0.297470,0.008161,72.660680,-0.188357,0.040015,0.454588,0.297236,0.011119,-0.189106
Pelag_MX_SaberAttackA,0.110000,0.800000,-0.608350,0.298522,0.008607,72.713010,-0.197133,0.039142,0.446394,0.299907,0.011885,-0.185726
Pelag_MX_SaberAttackA,0.113333,0.800000,-0.609525,0.299563,0.007765,72.634960,-0.206072,0.037850,0.436899,0.302716,0.012709,-0.181966
Pelag_MX_SaberAttackA,0.116667,0.800000,-0.610752,0.300670,0.005134,72.375690,-0.214801,0.036324,0.426430,0.305521,0.013487,-0.178034
Pelag_MX_SaberAttackA,0.120000,0.800000,-0.612063,0.301921,0.000207,71.884090,-0.222991,0.034682,0.415400,0.308196,0.014104,-0.174134
Pelag_MX_SaberAttackA,0.123333,0.800000,-0.613448,0.303393,-0.007534,71.108230,-0.230363,0.032980,0.404313,0.310627,0.014444,-0.170471
Pelag_MX_SaberAttackA,0.126667,0.800000,-0.614835,0.305163,-0.018624,69.994710,-0.236692,0.031223,0.393767,0.312731,0.014398,-0.167256
Pelag_MX_SaberAttackA,0.130000,0.800000,-0.616057,0.307305,-0.033619,68.487790,-0.241805,0.029386,0.384443,0.314453,0.013872,-0.164714
Pelag_MX_SaberAttackA,0.133333,0.800000,-0.616816,0.309891,-0.053098,66.528590,-0.245559,0.027448,0.377077,0.315779,0.012806,-0.163094
Pelag_MX_SaberAttackA,0.136667,0.800000,-0.616993,0.313582,-0.078025,64.068120,-0.247878,0.025464,0.372294,0.318050,0.012102,-0.164181
Pelag_MX_SaberAttackA,0.140000,0.800000,-0.616111,0.318696,-0.108301,61.138560,-0.248830,0.023460,0.369836,0.322268,0.012506,-0.168659
Pelag_MX_SaberAttackA,0.143333,0.800000,-0.613246,0.324752,-0.142858,57.799910,-0.248504,0.021432,0.369122,0.327913,0.013780,-0.175160
Pelag_MX_SaberAttackA,0.146667,0.800000,-0.607581,0.331218,-0.180577,54.110080,-0.247041,0.019411,0.369548,0.334414,0.015635,-0.182352
Pelag_MX_SaberAttackA,0.150000,0.800000,-0.598457,0.337516,-0.220317,50.123520,-0.244683,0.017435,0.370512,0.341152,0.017681,-0.188955
Pelag_MX_SaberAttackA,0.153333,0.800000,-0.585395,0.343021,-0.260950,45.890080,-0.241790,0.015528,0.371436,0.347451,0.019418,-0.193787
Pelag_MX_SaberAttackA,0.156667,0.800000,-0.568095,0.347074,-0.301387,41.454270,-0.238805,0.013686,0.371784,0.352574,0.020260,-0.195812
Pelag_MX_SaberAttackA,0.160000,0.800000,-0.546408,0.348992,-0.340597,36.854430,-0.236197,0.011863,0.371081,0.355704,0.019592,-0.194188
Pelag_MX_SaberAttackA,0.163333,0.800000,-0.520296,0.348068,-0.377601,32.121800,-0.234374,0.009967,0.368902,0.355914,0.016848,-0.188317
Pelag_MX_SaberAttackA,0.166667,0.800000,-0.489786,0.343576,-0.411440,27.279140,-0.233577,0.007859,0.364858,0.352144,0.011618,-0.177909
Pelag_MX_SaberAttackA,0.170000,0.800000,-0.451940,0.333814,-0.443658,21.931540,-0.233492,0.004893,0.358976,0.343288,0.003226,-0.162881
