time,tick,attack,damage,variant,state,phase,upperWeight,lowerWeight,bladeX,bladeY,bladeZ,cast,abilityDamage,baseState,basePhase,deaths,timeScale,heldAnchor,flyingAnchors,handX,handY,handZ
0.016667,0,0,0,-1,other,0.000000,0.000000,0.000000,-0.117334,0.274901,-0.488359,0,0,1160858440,0.000000,0,1.000000,1,0,-0.329000,0.889821,0.020846
0.033333,0,0,0,-1,other,0.011111,0.008916,0.000000,-0.117378,0.274908,-0.488254,0,0,1160858440,0.001840,0,1.000000,1,0,-0.329164,0.889498,0.021238
0.050000,0,0,0,-1,other,0.022222,0.034294,0.000000,-0.117421,0.274917,-0.488149,0,0,1160858440,0.003680,0,1.000000,1,0,-0.329446,0.888497,0.022253
0.066667,0,0,0,-1,other,0.033333,0.074074,0.000000,-0.117463,0.274928,-0.488044,0,0,1160858440,0.005520,0,1.000000,1,0,-0.329715,0.886828,0.023731
0.083333,0,0,0,-1,other,0.044444,0.126200,0.000000,-0.117504,0.274940,-0.487939,0,0,1160858440,0.007360,0,1.000000,1,0,-0.329797,0.884479,0.025513
0.100000,0,0,0,-1,other,0.055556,0.188615,0.000000,-0.117545,0.274953,-0.487835,0,0,1160858440,0.009200,0,1.000000,1,0,-0.329496,0.881424,0.027434
0.116667,0,0,0,-1,other,0.066667,0.259259,0.000000,-0.117587,0.274967,-0.487732,0,0,1160858440,0.011040,0,1.000000,1,0,-0.328614,0.877646,0.029336
0.133333,0,0,0,-1,other,0.077778,0.336077,0.000000,-0.117628,0.274980,-0.487629,0,0,1160858440,0.012880,0,1.000000,1,0,-0.326974,0.873148,0.031059
0.150000,0,0,0,-1,other,0.088889,0.417010,0.000000,-0.117670,0.274992,-0.487528,0,0,1160858440,0.014720,0,1.000000,1,0,-0.324435,0.867967,0.032455
0.166667,0,0,0,-1,other,0.100000,0.500000,0.000000,-0.117713,0.275004,-0.487429,0,0,1160858440,0.016560,0,1.000000,1,0,-0.320909,0.862205,0.033436
0.183333,0,0,0,-1,other,0.111111,0.582990,0.000000,-0.117756,0.275013,-0.487332,0,0,1160858440,0.018400,0,1.000000,1,0,-0.316465,0.856193,0.033897
0.200000,0,0,0,-1,other,0.122222,0.663923,0.000000,-0.117802,0.275021,-0.487236,0,0,1160858440,0.020240,0,1.000000,1,0,-0.311329,0.850500,0.033678
0.216667,0,0,0,-1,other,0.133333,0.740741,0.000000,-0.117848,0.275025,-0.487145,0,0,1160858440,0.022080,0,1.000000,1,0,-0.305851,0.845909,0.032624
0.233333,0,0,0,-1,other,0.144445,0.811386,0.000000,-0.117898,0.275027,-0.487057,0,0,1160858440,0.023920,0,1.000000,1,0,-0.299972,0.843179,0.031116
0.250000,0,0,0,-1,other,0.155556,0.873800,0.000000,-0.117948,0.275028,-0.486972,0,0,1160858440,0.025760,0,1.000000,1,0,-0.293687,0.842682,0.028954
0.266667,0,0,0,-1,other,0.166667,0.925926,0.000000,-0.118000,0.275028,-0.486888,0,0,1160858440,0.027600,0,1.000000,1,0,-0.287994,0.844906,0.026462
0.283333,0,0,0,-1,other,0.177778,0.965707,0.000000,-0.118052,0.275028,-0.486807,0,0,1160858440,0.029440,0,1.000000,1,0,-0.283755,0.849757,0.023437
0.300000,0,0,0,-1,other,0.188889,0.991084,0.000000,-0.118106,0.275027,-0.486727,0,0,1160858440,0.031280,0,1.000000,1,0,-0.280762,0.856630,0.019122
0.316667,0,0,0,-1,other,0.200000,1.000000,0.000000,-0.118160,0.275025,-0.486650,0,0,1160858440,0.033120,0,1.000000,1,0,-0.278328,0.865053,0.013861
0.333333,0,0,0,-1,other,0.211111,1.000000,0.000000,-0.118216,0.275023,-0.486575,0,0,1160858440,0.034960,0,1.000000,1,0,-0.275494,0.874232,0.006523
0.350000,0,0,0,-1,other,0.222222,1.000000,0.000000,-0.118271,0.275020,-0.486502,0,0,1160858440,0.036800,0,1.000000,1,0,-0.271816,0.883761,-0.002337
0.366667,0,0,0,-1,other,0.233333,1.000000,0.000000,-0.118328,0.275017,-0.486432,0,0,1160858440,0.038640,0,1.000000,1,0,-0.267814,0.893089,-0.012221
0.383333,0,0,0,-1,other,0.244444,1.000000,0.000000,-0.118385,0.275013,-0.486365,0,0,1160858440,0.040480,0,1.000000,1,0,-0.263644,0.901503,-0.022096
0.400000,0,0,0,-1,other,0.255556,1.000000,0.000000,-0.118443,0.275010,-0.486300,0,0,1160858440,0.042320,0,1.000000,1,0,-0.259442,0.908566,-0.030849
0.416667,0,0,0,-1,other,0.266667,1.000000,0.000000,-0.118501,0.275005,-0.486237,0,0,1160858440,0.044160,0,1.000000,1,0,-0.255378,0.914023,-0.039324
0.433333,0,0,0,-1,other,0.277778,1.000000,0.000000,-0.118560,0.275001,-0.486178,0,0,1160858440,0.046000,0,1.000000,1,0,-0.251319,0.917497,-0.047585
0.450000,0,0,0,-1,other,0.288889,1.000000,0.000000,-0.118619,0.274997,-0.486121,0,0,1160858440,0.047840,0,1.000000,1,0,-0.247258,0.918624,-0.055625
0.466667,0,0,0,-1,other,0.300000,1.000000,0.000000,-0.118675,0.274999,-0.486071,0,0,1160858440,0.049680,0,1.000000,1,0,-0.243784,0.917509,-0.061731
0.483333,0,0,0,-1,other,0.311111,1.000000,0.000000,-0.118730,0.275009,-0.486022,0,0,1160858440,0.051520,0,1.000000,1,0,-0.241370,0.914855,-0.064904
0.500000,0,0,0,-1,other,0.322222,1.000000,0.000000,-0.118782,0.275023,-0.485977,0,0,1160858440,0.053360,0,1.000000,1,0,-0.239952,0.911325,-0.066196
0.516667,0,0,0,-1,other,0.333333,1.000000,0.000000,-0.118833,0.275042,-0.485933,0,0,1160858440,0.055200,0,1.000000,1,0,-0.239413,0.907652,-0.066657
0.533333,0,0,0,-1,other,0.344445,1.000000,0.000000,-0.118882,0.275065,-0.485892,0,0,1160858440,0.057040,0,1.000000,1,0,-0.239511,0.904560,-0.067310
0.550000,0,0,0,-1,other,0.355556,1.000000,0.000000,-0.118930,0.275091,-0.485852,0,0,1160858440,0.058880,0,1.000000,1,0,-0.239803,0.902719,-0.069103
0.566667,0,0,0,-1,other,0.366667,1.000000,0.000000,-0.118978,0.275120,-0.485813,0,0,1160858440,0.060720,0,1.000000,1,0,-0.239990,0.902396,-0.071500
0.583333,0,0,0,-1,other,0.377778,1.000000,0.000000,-0.119025,0.275150,-0.485775,0,0,1160858440,0.062560,0,1.000000,1,0,-0.240392,0.903481,-0.073199
0.600000,0,0,0,-1,other,0.388889,1.000000,0.000000,-0.119072,0.275181,-0.485737,0,0,1160858440,0.064400,0,1.000000,1,0,-0.241082,0.905616,-0.074425
0.616667,0,0,0,-1,other,0.400000,1.000000,0.000000,-0.119120,0.275212,-0.485700,0,0,1160858440,0.066240,0,1.000000,1,0,-0.241867,0.908181,-0.076062
0.633333,0,0,0,-1,other,0.411111,1.000000,0.000000,-0.119169,0.275243,-0.485663,0,0,1160858440,0.068080,0,1.000000,1,0,-0.242490,0.910809,-0.078890
0.650000,0,0,0,-1,other,0.422222,1.000000,0.000000,-0.119219,0.275273,-0.485624,0,0,1160858440,0.069920,0,1.000000,1,0,-0.242658,0.913146,-0.083767
0.666667,0,0,0,-1,other,0.433333,1.000000,0.000000,-0.124029,0.279774,-0.494960,0,0,1160858440,0.071760,0,1.000000,1,0,-0.242086,0.915222,-0.091723
0.683333,0,0,0,-1,other,0.444444,1.000000,0.000000,-0.134605,0.293131,-0.518013,0,0,1160858440,0.073600,0,1.000000,1,0,-0.240670,0.917351,-0.102472
0.700000,0,0,0,-1,other,0.455556,1.000000,0.000000,-0.143064,0.315685,-0.545875,0,0,1160858440,0.075440,0,1.000000,1,0,-0.238485,0.919648,-0.115059
0.716667,0,0,0,-1,other,0.466667,1.000000,0.000000,-0.142123,0.348123,-0.572418,0,0,1160858440,0.077280,0,1.000000,1,0,-0.235604,0.922233,-0.128525
0.733333,0,0,0,-1,other,0.477778,1.000000,0.000000,-0.130504,0.394069,-0.598319,0,0,1160858440,0.079120,0,1.000000,1,0,-0.232082,0.925118,-0.141790
0.750000,0,0,0,-1,other,0.488889,1.000000,0.000000,-0.106653,0.452869,-0.615657,0,0,1160858440,0.080960,0,1.000000,1,0,-0.227880,0.928172,-0.153748
0.766667,0,0,0,-1,other,0.500000,1.000000,0.000000,-0.067388,0.516276,-0.611120,0,0,1160858440,0.082800,0,1.000000,1,0,-0.223161,0.931395,-0.163005
0.783333,0,0,0,-1,other,0.511111,1.000000,0.000000,-0.019024,0.578386,-0.582965,0,0,1160858440,0.084640,0,1.000000,1,0,-0.218948,0.934644,-0.169070
0.800000,0,0,0,-1,other,0.522222,1.000000,0.000000,0.021881,0.634406,-0.534837,0,0,1160858440,0.086480,0,1.000000,1,0,-0.216430,0.937510,-0.172188
0.816667,0,0,0,-1,other,0.533333,1.000000,0.000000,0.033843,0.673562,-0.473661,0,0,1160858440,0.088320,0,1.000000,1,0,-0.216838,0.939650,-0.172608
0.833333,0,0,0,-1,other,0.544445,1.000000,0.000000,-0.008344,0.691075,-0.402568,0,0,1160858440,0.090160,0,1.000000,1,0,-0.221447,0.940786,-0.170635
0.850000,0,0,0,-1,other,0.555556,1.000000,0.000000,-0.121583,0.702676,-0.328526,0,0,1160858440,0.092000,0,1.000000,1,0,-0.229225,0.940175,-0.169538
0.866667,0,0,0,-1,other,0.566667,1.000000,0.000000,-0.295403,0.728578,-0.208191,0,0,1160858440,0.093840,0,1.000000,1,0,-0.246574,0.938825,-0.162174
0.883333,0,0,0,-1,other,0.577778,1.000000,0.000000,-0.477062,0.800313,-0.007326,0,0,1160858440,0.095680,0,1.000000,1,0,-0.268720,0.936127,-0.150605
0.900000,0,0,0,-1,other,0.588889,1.000000,0.000000,-0.587074,0.929808,0.285638,0,0,1160858440,0.097520,0,1.000000,1,0,-0.292668,0.932012,-0.134253
0.916667,0,0,0,-1,other,0.600000,1.000000,0.000000,-0.534470,1.076570,0.598893,0,0,1160858440,0.099360,0,1.000000,1,0,-0.316878,0.926800,-0.113381
0.933333,0,0,0,-1,other,0.611111,1.000000,0.000000,-0.360349,1.226282,0.836653,0,0,1160858440,0.101200,0,1.000000,1,0,-0.340287,0.920801,-0.090101
0.950000,0,0,0,-1,other,0.622223,1.000000,0.000000,-0.093440,1.354619,0.990914,0,0,1160858440,0.103040,0,1.000000,1,0,-0.362173,0.914206,-0.066862
0.966667,0,0,0,-1,other,0.633334,1.000000,0.000000,0.183767,1.456516,1.035639,0,0,1160858440,0.104880,0,1.000000,1,0,-0.381566,0.907161,-0.044745
0.983333,0,0,0,-1,other,0.644445,1.000000,0.000000,0.443652,1.518739,1.001608,0,0,1160858440,0.106720,0,1.000000,1,0,-0.397799,0.899765,-0.024696
1.000000,0,0,0,-1,other,0.655556,1.000000,0.000000,0.654442,1.517682,0.924369,0,0,1160858440,0.108560,0,1.000000,1,0,-0.410400,0.891748,-0.006470
1.016667,0,0,0,-1,other,0.666667,1.000000,0.000000,0.828576,1.479088,0.823385,0,0,1160858440,0.110400,0,1.000000,1,0,-0.419874,0.883014,0.010999
1.033333,0,0,0,-1,other,0.677778,1.000000,0.000000,0.983102,1.416678,0.697334,0,0,1160858440,0.112240,0,1.000000,1,0,-0.427005,0.874110,0.028039
1.050000,0,0,0,-1,other,0.688889,1.000000,0.000000,1.099333,1.337859,0.559726,0,0,1160858440,0.114080,0,1.000000,1,0,-0.432542,0.865592,0.045005
1.066667,0,0,0,-1,other,0.700001,1.000000,0.000000,1.177173,1.263215,0.416566,0,0,1160858440,0.115920,0,1.000000,1,0,-0.436972,0.858138,0.061834
1.083333,0,0,0,-1,other,0.711112,1.000000,0.000000,1.223492,1.195593,0.273389,0,0,1160858440,0.117760,0,1.000000,1,0,-0.440115,0.852080,0.078790
1.100000,0,0,0,-1,other,0.722223,1.000000,0.000000,1.242456,1.135043,0.143369,0,0,1160858440,0.119600,0,1.000000,1,0,-0.441240,0.846974,0.096089
1.116667,0,0,0,-1,other,0.733334,1.000000,0.000000,1.241216,1.082650,0.040201,0,0,1160858440,0.121440,0,1.000000,1,0,-0.439692,0.842081,0.113440
1.133333,0,0,0,-1,other,0.744445,1.000000,0.000000,1.228639,1.037553,-0.020350,0,0,1160858440,0.123280,0,1.000000,1,0,-0.435434,0.837153,0.130401
1.150000,0,0,0,-1,other,0.755556,1.000000,0.000000,1.212437,0.996852,-0.056852,0,0,1160858440,0.125120,0,1.000000,1,0,-0.429445,0.832147,0.145825
1.166667,0,0,0,-1,other,0.766667,1.000000,0.000000,1.194797,0.955751,-0.088825,0,0,1160858440,0.126960,0,1.000000,1,0,-0.422340,0.827180,0.159657
1.183333,0,0,0,-1,other,0.777779,1.000000,0.000000,1.176541,0.910950,-0.111952,0,0,1160858440,0.128800,0,1.000000,1,0,-0.414470,0.822382,0.172161
1.200000,0,0,0,-1,other,0.788890,1.000000,0.000000,1.158018,0.862292,-0.129661,0,0,1160858440,0.130640,0,1.000000,1,0,-0.406370,0.817831,0.183134
1.216667,0,0,0,-1,other,0.800001,1.000000,0.000000,1.139174,0.812978,-0.145051,0,0,1160858440,0.132480,0,1.000000,1,0,-0.398603,0.813597,0.192462
1.233333,0,0,0,-1,other,0.811112,0.991082,0.000000,1.121096,0.767167,-0.147879,0,0,1160858440,0.134320,0,1.000000,1,0,-0.390680,0.810415,0.201765
1.250000,0,0,0,-1,other,0.822223,0.965704,0.000000,1.105742,0.731892,-0.128278,0,0,1160858440,0.136160,0,1.000000,1,0,-0.381661,0.809047,0.212922
1.266667,0,0,0,-1,other,0.833334,0.925922,0.000000,1.093541,0.712972,-0.088268,0,0,1160858440,0.138000,0,1.000000,1,0,-0.371452,0.809635,0.226159
1.283333,0,0,0,-1,other,0.844445,0.873795,0.000000,1.082719,0.714325,-0.027500,0,0,1160858440,0.139840,0,1.000000,1,0,-0.359978,0.812390,0.241531
1.300000,0,0,0,-1,other,0.855557,0.811380,0.000000,1.069288,0.738639,0.052528,0,0,1160858440,0.141680,0,1.000000,1,0,-0.347219,0.817558,0.258899
1.316667,0,0,0,-1,other,0.866668,0.740734,0.000000,1.047127,0.786476,0.148658,0,0,1160858440,0.143520,0,1.000000,1,0,-0.333233,0.825379,0.277932
1.333333,0,0,0,-1,other,0.877779,0.663916,0.000000,1.009601,0.854411,0.254828,0,0,1160858440,0.145360,0,1.000000,1,0,-0.318189,0.836031,0.298129
1.350000,0,0,0,-1,other,0.888890,0.582983,0.000000,0.950986,0.935543,0.364274,0,0,1160858440,0.147200,0,1.000000,1,0,-0.302346,0.849541,0.318831
1.366667,0,0,0,-1,other,0.900001,0.499992,0.000000,0.867562,1.021920,0.470590,0,0,1160858440,0.149040,0,1.000000,1,0,-0.285968,0.865753,0.339320
