time,tick,entity,kind,alive,state,phase,transition,x,y,z,minY,height,clipSeconds
0.0167,0,1,ForestGuardian,True,-2089788878,0.9914,False,-11.4500,0.0000,5.0000,-0.1679,2.4737,5.3333
0.0333,0,1,ForestGuardian,True,-2089788878,0.9946,False,-11.4500,0.0000,5.0000,-0.1679,2.4734,5.3333
0.0500,0,1,ForestGuardian,True,-2089788878,0.9977,False,-11.4500,0.0000,5.0000,-0.1679,2.4732,5.3333
0.0667,0,1,ForestGuardian,True,-2089788878,1.0008,False,-11.4500,0.0000,5.0000,-0.1678,2.4730,5.3333
0.0833,0,1,ForestGuardian,True,-2089788878,1.0039,False,-11.4500,0.0000,5.0000,-0.1679,2.4730,5.3333
0.1000,0,1,ForestGuardian,True,-2089788878,1.0071,False,-11.4500,0.0000,5.0000,-0.1679,2.4731,5.3333
0.1167,0,1,ForestGuardian,True,-2089788878,1.0102,False,-11.4500,0.0000,5.0000,-0.1679,2.4733,5.3333
0.1333,0,1,ForestGuardian,True,-2089788878,1.0133,False,-11.4500,0.0000,5.0000,-0.1678,2.4734,5.3333
0.1500,0,1,ForestGuardian,True,-2089788878,1.0164,False,-11.4500,0.0000,5.0000,-0.1678,2.4736,5.3333
0.1667,0,1,ForestGuardian,True,-2089788878,1.0196,False,-11.4500,0.0000,5.0000,-0.1677,2.4738,5.3333
0.1833,0,1,ForestGuardian,True,-2089788878,1.0227,False,-11.4500,0.0000,5.0000,-0.1677,2.4740,5.3333
0.2000,0,1,ForestGuardian,True,-2089788878,1.0258,False,-11.4500,0.0000,5.0000,-0.1677,2.4742,5.3333
0.2167,0,1,ForestGuardian,True,-2089788878,1.0289,False,-11.4500,0.0000,5.0000,-0.1677,2.4744,5.3333
0.2333,0,1,ForestGuardian,True,-2089788878,1.0321,False,-11.4500,0.0000,5.0000,-0.1677,2.4746,5.3333
0.2500,0,1,ForestGuardian,True,-2089788878,1.0352,False,-11.4500,0.0000,5.0000,-0.1678,2.4748,5.3333
0.2667,0,1,ForestGuardian,True,-2089788878,1.0383,False,-11.4500,0.0000,5.0000,-0.1678,2.4750,5.3333
0.2833,0,1,ForestGuardian,True,-2089788878,1.0414,False,-11.4500,0.0000,5.0000,-0.1679,2.4752,5.3333
0.3000,0,1,ForestGuardian,True,-2089788878,1.0446,False,-11.4500,0.0000,5.0000,-0.1680,2.4754,5.3333
0.3167,0,1,ForestGuardian,True,-2089788878,1.0477,False,-11.4500,0.0000,5.0000,-0.1680,2.4756,5.3333
0.3333,0,1,ForestGuardian,True,-2089788878,1.0508,False,-11.4500,0.0000,5.0000,-0.1681,2.4757,5.3333
0.3500,0,1,ForestGuardian,True,-2089788878,1.0539,False,-11.4500,0.0000,5.0000,-0.1682,2.4758,5.3333
0.3667,0,1,ForestGuardian,True,-2089788878,1.0571,False,-11.4500,0.0000,5.0000,-0.1683,2.4759,5.3333
0.3833,0,1,ForestGuardian,True,-2089788878,1.0602,False,-11.4500,0.0000,5.0000,-0.1684,2.4761,5.3333
0.4000,0,1,ForestGuardian,True,-2089788878,1.0633,False,-11.4500,0.0000,5.0000,-0.1685,2.4764,5.3333
0.4167,0,1,ForestGuardian,True,-2089788878,1.0664,False,-11.4500,0.0000,5.0000,-0.1686,2.4767,5.3333
0.4333,0,1,ForestGuardian,True,-2089788878,1.0696,False,-11.4500,0.0000,5.0000,-0.1688,2.4772,5.3333
0.4500,0,1,ForestGuardian,True,-2089788878,1.0727,False,-11.4500,0.0000,5.0000,-0.1689,2.4777,5.3333
0.4667,0,1,ForestGuardian,True,-2089788878,1.0758,False,-11.4500,0.0000,5.0000,-0.1691,2.4783,5.3333
0.4833,0,1,ForestGuardian,True,-2089788878,1.0789,False,-11.4500,0.0000,5.0000,-0.1692,2.4789,5.3333
0.5000,0,1,ForestGuardian,True,-2089788878,1.0821,False,-11.4500,0.0000,5.0000,-0.1694,2.4795,5.3333
0.5167,0,1,ForestGuardian,True,-2089788878,1.0852,False,-11.4500,0.0000,5.0000,-0.1695,2.4800,5.3333
0.5333,0,1,ForestGuardian,True,-2089788878,1.0883,False,-11.4500,0.0000,5.0000,-0.1697,2.4806,5.3333
0.5500,0,1,ForestGuardian,True,-2089788878,1.0914,False,-11.4500,0.0000,5.0000,-0.1698,2.4811,5.3333
0.5667,0,1,ForestGuardian,True,-2089788878,1.0946,False,-11.4500,0.0000,5.0000,-0.1700,2.4816,5.3333
0.5833,0,1,ForestGuardian,True,-2089788878,1.0977,False,-11.4500,0.0000,5.0000,-0.1701,2.4821,5.3333
0.6000,0,1,ForestGuardian,True,-2089788878,1.1008,False,-11.4500,0.0000,5.0000,-0.1702,2.4826,5.3333
0.6167,0,1,ForestGuardian,True,-2089788878,1.1039,False,-11.4500,0.0000,5.0000,-0.1703,2.4831,5.3333
0.6333,0,1,ForestGuardian,True,-2089788878,1.1071,False,-11.4500,0.0000,5.0000,-0.1704,2.4835,5.3333
0.6500,0,1,ForestGuardian,True,-2089788878,1.1102,False,-11.4500,0.0000,5.0000,-0.1705,2.4840,5.3333
0.6667,0,1,ForestGuardian,True,-2089788878,1.1133,False,-11.4500,0.0000,5.0000,-0.1707,2.4845,5.3333
0.6833,0,1,ForestGuardian,True,-2089788878,1.1164,False,-11.4500,0.0000,5.0000,-0.1708,2.4850,5.3333
0.7000,0,1,ForestGuardian,True,-2089788878,1.1196,False,-11.4500,0.0000,5.0000,-0.1710,2.4854,5.3333
0.7167,0,1,ForestGuardian,True,-2089788878,1.1227,False,-11.4500,0.0000,5.0000,-0.1712,2.4858,5.3333
0.7333,0,1,ForestGuardian,True,-2089788878,1.1258,False,-11.4500,0.0000,5.0000,-0.1714,2.4861,5.3333
0.7500,0,1,ForestGuardian,True,-2089788878,1.1289,False,-11.4500,0.0000,5.0000,-0.1716,2.4864,5.3333
0.7667,0,1,ForestGuardian,True,-2089788878,1.1321,False,-11.4500,0.0000,5.0000,-0.1718,2.4867,5.3333
0.7833,0,1,ForestGuardian,True,-2089788878,1.1352,False,-11.4500,0.0000,5.0000,-0.1719,2.4870,5.3333
0.8000,0,1,ForestGuardian,True,-2089788878,1.1383,False,-11.4500,0.0000,5.0000,-0.1721,2.4872,5.3333
0.8167,0,1,ForestGuardian,True,-2089788878,1.1414,False,-11.4500,0.0000,5.0000,-0.1722,2.4873,5.3333
0.8333,0,1,ForestGuardian,True,-2089788878,1.1446,False,-11.4500,0.0000,5.0000,-0.1723,2.4874,5.3333
0.8500,0,1,ForestGuardian,True,-2089788878,1.1477,False,-11.4500,0.0000,5.0000,-0.1723,2.4874,5.3333
0.8667,0,1,ForestGuardian,True,-2089788878,1.1508,False,-11.4500,0.0000,5.0000,-0.1724,2.4873,5.3333
0.8833,0,1,ForestGuardian,True,-2089788878,1.1539,False,-11.4500,0.0000,5.0000,-0.1725,2.4871,5.3333
0.9000,0,1,ForestGuardian,True,-2089788878,1.1571,False,-11.4500,0.0000,5.0000,-0.1726,2.4869,5.3333
0.9167,0,1,ForestGuardian,True,-2089788878,1.1602,False,-11.4500,0.0000,5.0000,-0.1726,2.4867,5.3333
