time,tick,entity,kind,alive,state,phase,transition,x,y,z,minY,height,clipSeconds
0.0167,0,1,ForestGuardian,True,-2089788878,0.9914,False,-11.4500,0.0000,5.0000,-0.1679,2.4737,5.3333
0.0167,0,2,ForestGuardian,True,-2089788878,0.5451,False,-10.6000,0.0000,6.3000,-0.1678,2.4899,5.3333
0.0167,0,3,ForestGuardian,True,-2089788878,0.6223,False,-10.6000,0.0000,3.7000,-0.1657,2.4803,5.3333
0.0167,0,4,ForestGuardian,True,-2089788878,0.3138,False,-12.5000,0.0000,7.4000,-0.1662,2.4708,5.3333
0.0167,0,5,ForestGuardian,True,-2089788878,0.9879,False,-12.5000,0.0000,2.6000,-0.1678,2.4740,5.3333
0.0333,0,1,ForestGuardian,True,-2089788878,0.9946,False,-11.4500,0.0000,5.0000,-0.1679,2.4734,5.3333
0.0333,0,2,ForestGuardian,True,-2089788878,0.5482,False,-10.6000,0.0000,6.3000,-0.1678,2.4893,5.3333
0.0333,0,3,ForestGuardian,True,-2089788878,0.6254,False,-10.6000,0.0000,3.7000,-0.1656,2.4801,5.3333
0.0333,0,4,ForestGuardian,True,-2089788878,0.3169,False,-12.5000,0.0000,7.4000,-0.1660,2.4703,5.3333
0.0333,0,5,ForestGuardian,True,-2089788878,0.9910,False,-12.5000,0.0000,2.6000,-0.1679,2.4737,5.3333
0.0500,0,1,ForestGuardian,True,-2089788878,0.9977,False,-11.4500,0.0000,5.0000,-0.1679,2.4732,5.3333
0.0500,0,2,ForestGuardian,True,-2089788878,0.5513,False,-10.6000,0.0000,6.3000,-0.1678,2.4886,5.3333
0.0500,0,3,ForestGuardian,True,-2089788878,0.6285,False,-10.6000,0.0000,3.7000,-0.1655,2.4798,5.3333
0.0500,0,4,ForestGuardian,True,-2089788878,0.3201,False,-12.5000,0.0000,7.4000,-0.1658,2.4698,5.3333
0.0500,0,5,ForestGuardian,True,-2089788878,0.9941,False,-12.5000,0.0000,2.6000,-0.1679,2.4735,5.3333
0.0667,0,1,ForestGuardian,True,-2089788878,1.0008,False,-11.4500,0.0000,5.0000,-0.1678,2.4730,5.3333
0.0667,0,2,ForestGuardian,True,-2089788878,0.5545,False,-10.6000,0.0000,6.3000,-0.1677,2.4880,5.3333
0.0667,0,3,ForestGuardian,True,-2089788878,0.6317,False,-10.6000,0.0000,3.7000,-0.1653,2.4795,5.3333
0.0667,0,4,ForestGuardian,True,-2089788878,0.3232,False,-12.5000,0.0000,7.4000,-0.1657,2.4694,5.3333
0.0667,0,5,ForestGuardian,True,-2089788878,0.9972,False,-12.5000,0.0000,2.6000,-0.1679,2.4732,5.3333
0.0833,0,1,ForestGuardian,True,-2089788878,1.0039,False,-11.4500,0.0000,5.0000,-0.1679,2.4730,5.3333
0.0833,0,2,ForestGuardian,True,-2089788878,0.5576,False,-10.6000,0.0000,6.3000,-0.1677,2.4874,5.3333
0.0833,0,3,ForestGuardian,True,-2089788878,0.6348,False,-10.6000,0.0000,3.7000,-0.1651,2.4791,5.3333
0.0833,0,4,ForestGuardian,True,-2089788878,0.3263,False,-12.5000,0.0000,7.4000,-0.1655,2.4690,5.3333
0.0833,0,5,ForestGuardian,True,-2089788878,1.0004,False,-12.5000,0.0000,2.6000,-0.1678,2.4730,5.3333
0.1000,0,1,ForestGuardian,True,-2089788878,1.0071,False,-11.4500,0.0000,5.0000,-0.1679,2.4731,5.3333
0.1000,0,2,ForestGuardian,True,-2089788878,0.5607,False,-10.6000,0.0000,6.3000,-0.1677,2.4868,5.3333
0.1000,0,3,ForestGuardian,True,-2089788878,0.6379,False,-10.6000,0.0000,3.7000,-0.1649,2.4787,5.3333
0.1000,0,4,ForestGuardian,True,-2089788878,0.3294,False,-12.5000,0.0000,7.4000,-0.1652,2.4687,5.3333
0.1000,0,5,ForestGuardian,True,-2089788878,1.0035,False,-12.5000,0.0000,2.6000,-0.1679,2.4730,5.3333
0.1167,0,1,ForestGuardian,True,-2089788878,1.0102,False,-11.4500,0.0000,5.0000,-0.1679,2.4733,5.3333
0.1167,0,2,ForestGuardian,True,-2089788878,0.5638,False,-10.6000,0.0000,6.3000,-0.1677,2.4862,5.3333
0.1167,0,3,ForestGuardian,True,-2089788878,0.6410,False,-10.6000,0.0000,3.7000,-0.1647,2.4782,5.3333
