[a_Rodin.utils-DBG]: RodinBridge: register
[a_Rodin.utils-WRN]: Port 61863 is in use
[a_Rodin.utils-WRN]: Server running on port 61864
Traceback (most recent call last):
  File "C:\Program Files\Blender Foundation\Blender 5.2\5.2\scripts\modules\addon_utils.py", line 458, in enable
    mod = importlib.import_module(module_name)
  File "C:\Program Files\Blender Foundation\Blender 5.2\5.2\python\Lib\importlib\__init__.py", line 88, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
           ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "<frozen importlib._bootstrap>", line 1395, in _gcd_import
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 1023, in exec_module
  File "<frozen importlib._bootstrap>", line 488, in _call_with_frames_removed
  File "C:\Users\d.grab\AppData\Roaming\Blender Foundation\Blender\5.2\extensions\user_default\higgsfield_blender\__init__.py", line 60, in <module>
    from .features import bridge_gate, phonecam
  File "C:\Users\d.grab\AppData\Roaming\Blender Foundation\Blender\5.2\extensions\user_default\higgsfield_blender\features\bridge_gate.py", line 23, in <module>
    from ..fnf.session import _active_workspace_id, is_authenticated
  File "C:\Users\d.grab\AppData\Roaming\Blender Foundation\Blender\5.2\extensions\user_default\higgsfield_blender\fnf\session.py", line 31, in <module>
    import httpx
ModuleNotFoundError: No module named 'httpx'
[a_Rodin.utils-DBG]: on_scene_load
[a_Rodin.utils-DBG]: ensure_default_image
00:03.938  blend            | Read blend: "C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\Death_Final.blend"
00:04.000  render           | Rendering animation (frames 0..96)
00:04.000  render           | Rendering frame 0
00:04.000  render           | Start rendering: Scene, ViewLayer
00:04.000  render           | Engine: EEVEE
00:05.766  render           | Fra: 0 | Rendering 1 / 64 samples
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 02:38:20)
00:05.891  render           | Fra: 0 | Rendering 25 / 64 samples
00:06.000  render           | Fra: 0 | Rendering 50 / 64 samples
00:06.078  render           | Fra: 0 | Rendering 64 / 64 samples
00:06.235  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0000.png'
00:06.235  render           | Time: 00:02.22 (Saving: 00:00.12)
00:06.235  render           | Rendering frame 1
00:06.235  render           | Start rendering: Scene, ViewLayer
00:06.235  render           | Engine: EEVEE
00:06.360  render           | Fra: 1 | Rendering 1 / 64 samples
00:06.500  render           | Fra: 1 | Rendering 25 / 64 samples
00:06.657  render           | Fra: 1 | Rendering 50 / 64 samples
00:06.750  render           | Fra: 1 | Rendering 64 / 64 samples
00:06.860  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0001.png'
00:06.860  render           | Time: 00:00.62 (Saving: 00:00.06)
00:06.860  render           | Rendering frame 2
00:06.860  render           | Start rendering: Scene, ViewLayer
00:06.860  render           | Engine: EEVEE
00:06.953  render           | Fra: 2 | Rendering 1 / 64 samples
00:07.110  render           | Fra: 2 | Rendering 25 / 64 samples
00:07.266  render           | Fra: 2 | Rendering 50 / 64 samples
00:07.360  render           | Fra: 2 | Rendering 64 / 64 samples
00:07.469  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0002.png'
00:07.469  render           | Time: 00:00.61 (Saving: 00:00.07)
00:07.469  render           | Rendering frame 3
00:07.469  render           | Start rendering: Scene, ViewLayer
00:07.469  render           | Engine: EEVEE
00:07.563  render           | Fra: 3 | Rendering 1 / 64 samples
00:07.719  render           | Fra: 3 | Rendering 25 / 64 samples
00:07.875  render           | Fra: 3 | Rendering 50 / 64 samples
00:07.953  render           | Fra: 3 | Rendering 64 / 64 samples
00:08.047  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0003.png'
00:08.047  render           | Time: 00:00.58 (Saving: 00:00.05)
00:08.047  render           | Rendering frame 4
00:08.047  render           | Start rendering: Scene, ViewLayer
00:08.047  render           | Engine: EEVEE
00:08.141  render           | Fra: 4 | Rendering 1 / 64 samples
00:08.297  render           | Fra: 4 | Rendering 25 / 64 samples
00:08.453  render           | Fra: 4 | Rendering 50 / 64 samples
00:08.532  render           | Fra: 4 | Rendering 64 / 64 samples
00:08.625  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0004.png'
00:08.625  render           | Time: 00:00.58 (Saving: 00:00.06)
00:08.625  render           | Rendering frame 5
00:08.625  render           | Start rendering: Scene, ViewLayer
00:08.625  render           | Engine: EEVEE
00:08.735  render           | Fra: 5 | Rendering 1 / 64 samples
00:08.891  render           | Fra: 5 | Rendering 25 / 64 samples
00:09.063  render           | Fra: 5 | Rendering 50 / 64 samples
00:09.141  render           | Fra: 5 | Rendering 64 / 64 samples
00:09.219  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0005.png'
00:09.219  render           | Time: 00:00.59 (Saving: 00:00.06)
00:09.219  render           | Rendering frame 6
00:09.219  render           | Start rendering: Scene, ViewLayer
00:09.219  render           | Engine: EEVEE
00:09.297  render           | Fra: 6 | Rendering 1 / 64 samples
00:09.469  render           | Fra: 6 | Rendering 25 / 64 samples
00:09.625  render           | Fra: 6 | Rendering 50 / 64 samples
00:09.688  render           | Fra: 6 | Rendering 64 / 64 samples
00:09.782  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0006.png'
00:09.782  render           | Time: 00:00.55 (Saving: 00:00.06)
00:09.782  render           | Rendering frame 7
00:09.782  render           | Start rendering: Scene, ViewLayer
00:09.782  render           | Engine: EEVEE
00:09.860  render           | Fra: 7 | Rendering 1 / 64 samples
00:10.032  render           | Fra: 7 | Rendering 25 / 64 samples
00:10.172  render           | Fra: 7 | Rendering 50 / 64 samples
00:10.250  render           | Fra: 7 | Rendering 64 / 64 samples
00:10.344  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0007.png'
00:10.344  render           | Time: 00:00.56 (Saving: 00:00.05)
00:10.344  render           | Rendering frame 8
00:10.344  render           | Start rendering: Scene, ViewLayer
00:10.344  render           | Engine: EEVEE
00:10.422  render           | Fra: 8 | Rendering 1 / 64 samples
00:10.578  render           | Fra: 8 | Rendering 25 / 64 samples
00:10.719  render           | Fra: 8 | Rendering 50 / 64 samples
00:10.782  render           | Fra: 8 | Rendering 64 / 64 samples
00:10.907  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0008.png'
00:10.907  render           | Time: 00:00.56 (Saving: 00:00.06)
00:10.907  render           | Rendering frame 9
00:10.907  render           | Start rendering: Scene, ViewLayer
00:10.907  render           | Engine: EEVEE
00:11.000  render           | Fra: 9 | Rendering 1 / 64 samples
00:11.157  render           | Fra: 9 | Rendering 25 / 64 samples
00:11.282  render           | Fra: 9 | Rendering 50 / 64 samples
00:11.344  render           | Fra: 9 | Rendering 64 / 64 samples
00:11.469  render           | Saved: 'C:\Users\d.grab\Desktop\the-game\ART\characters\act-1-enemies\forest-elite-wendigo\production\animation\reference_match_remaining\death_work\final_frames\pose_0009.png'
00:11.469  render           | Time: 00:00.55 (Saving: 00:00.06)
00:11.469  render           | Rendering frame 10
00:11.469  render           | Start rendering: Scene, ViewLayer
00:11.469  render           | Engine: EEVEE
